,id,label_en
26846,Q29136,"Zarathustra, Founder Zoroaster Isme زرتشت‎"
43549,Q51445,"Zarathustra, Founder Zoroaster Isme زرتشت‎"
44801,Q52701,"Zarathustra, Founder Zoroaster Isme زرتشت‎"
55919,Q63819,Khasfeh fils de Ilyas  خصفه
55928,Q63828,Mudhir ibn Nizar  بن نزار
56120,Q64020,عبد مناف  بن زهرة
56329,Q64229,<private>  عکرمه
56535,Q64435,وهب  بن عبد مناف
56637,Q64537,عثمان وفي ذريته سدانة الكعبة، ويعرفوا ببني شيبة
56826,Q64726,Mansour son of Akrameh  منصور
57649,Q65549,Havazen son of Mansour  هوازن
58345,Q66245,Caliph Abu Bakr  بن أبي قحافة عثمان
58381,Q66281,الخطاب بن نفيل
58747,Q66647,الحكم بن أبي العاص  ibn Abi al-'As
59194,Q67094,« القائم بالحق » محمد بن زيد
59302,Q67202,عُمَرْ بِنْ ٱلْخَطَّابْ
59434,Q67334,عمر بن الخطاب - خلیفه دوم از خلفای راشدین
59610,Q67510,محمد بن حنفیه
59637,Q67537,Muawiyah son of Bakr  معاویه
59661,Q67561,Humaisi \ Umaisi  Umaisi ?أدد
60414,Q68314,علي السجاد
60420,Q68320,عبد الله
60423,Q68323,سليمان
61213,Q69113,القاسم بن الحسن‎
61255,Q69155,سكينة‎
61270,Q69170,فاطمة بنت حسين
61336,Q69236,Abu Hashim ben Mohammad Hanifa  ابوهاشم عبداله بن محمد حنفیه
61384,Q69284,Samsama son of Muawiyah  صمصمه
61393,Q69293,Salaman  أدد
61821,Q69721,أبو جعفر عبد الله المنصور
61824,Q69724,أبو العباس عبد الله السفاح
61827,Q69727,إبراهيم
61830,Q69730,موسى
61833,Q69733,أم عيسى
61836,Q69736,لبابة
61842,Q69742,الحسن
61845,Q69745,إسحاق
66113,Q74013,الملك أرتازركسيس- أردشير الثاني  بن الملك داريوس الثاني
66507,Q74407,کوروش
72750,Q80650,Mudrikah (Amir)  بن إلياس
73570,Q81470,Khasfeh fils de Ilyas  خصفه
73578,Q81478,Mudhir ibn Nizar  بن نزار
73706,Q81606,عبد مناف  بن زهرة
73845,Q81745,<private>  عکرمه
73981,Q81881,وهب  بن عبد مناف
74049,Q81949,عثمان وفي ذريته سدانة الكعبة، ويعرفوا ببني شيبة
74176,Q82076,Mansour son of Akrameh  منصور
74722,Q82622,Havazen son of Mansour  هوازن
75199,Q83099,Caliph Abu Bakr  بن أبي قحافة عثمان
