,id,label_en
3146,Q3374,Alonzo Ramirez Lopez
29470,Q32648,Don Yitzhak Abarbanel
30657,Q34235,Benbenida Abarbanel
49487,Q57387,Benbenida Abarbanel
52292,Q60192,Meszullam Reish Galuta
60438,Q68338,Achonai ben Haninai
66295,Q74195,Ahasuerus
66723,Q74623,Saragon II King of Assyria
70289,Q78189,Hordes the King
70586,Q78486,John Hyrcanus II the Hasmonean
70697,Q78597,Absalom ben Yochanan Hyrcanus
70801,Q78701,Second wife of John Hyrcanus I Hasmonean
70804,Q78704,John Hyrcanus I Hasmonean
70876,Q78776,Simon of Tarsus Hasmonean
70879,Q78779,Rabbi Yosei bar Yohanan
70933,Q78833,Hasmonean
70936,Q78836,Mattathiahu Hasmonean
70990,Q78890,Holofarnes
76594,Q84494,Achonai ben Haninai 31st exilarch
77347,Q85247,Neferibre Psamtek Psammetichus last king of Judah
78625,Q86525,Zutra Hassid ben Kahana
78769,Q86669,Daughter of Gamaliel the Elder Ninth of Hillel the Elder
78781,Q86681,Gamaliel the Elder son of Shimon the President
78793,Q86693,Shimon the son of Hillel the President
78803,Q86703,Hillel the Elder President of the Sanhedrin
78811,Q86711,Hezekiah the son of Uzziah
79972,Q87872,Bustanai
79992,Q87892,Bustanai
79994,Q87894,Haninai the son of Bustanai
79996,Q87896,Hakan Refa
80028,Q87928,Hananiah the son of Haninai
80032,Q87932,Hakan Refa
80076,Q87976,Hillel Yishai Ben Mari
80084,Q87984,Anan Ben David
80110,Q88010,Natronai Bar Hilai
80160,Q88060,Eleazar Ben Shmuel of Horga
80164,Q88064,Amram Gaon
80224,Q88124,Hasdai Ibn Shaprut
80266,Q88166,Saadiya Gaon
80286,Q88186,Israel Ben Shmuel HaCohen
80330,Q88230,Rabbi Dosa Gaon
80358,Q88258,Azariah Ben Israel HaCohen
80503,Q88403,Ahasuerus
80577,Q88477,Cyrus II King of Persia
80698,Q88598,Avraham Bar-Hayya
80789,Q88689,Saragon II King of Assyria
80827,Q88727,Rabbu Zerchia Halevi of Gironde
80829,Q88729,Abraham ben Yitzhak Halevi of Nebrona (the second Rabbi)
80831,Q88731,Barachiah ben Yitzhak Halevi
80837,Q88737,Rabbu Yosef the President Halevi
80843,Q88743,Yehuda Halevi
80845,Q88745,Abraham
80915,Q88815,Wife of Abraham ben David Rabbud or Rabbud the Third Rabbi daughter of Abraham ben Yitzhak of
80923,Q88823,Rabbu Ben Benvenisti Halevi ben Yosef Halevi
80931,Q88831,Moshe ben Naḥman
80933,Q88833,Yonha ben Avraham
80943,Q88843,Moses Bonastruc ַa Porta Ben Naḥman Girond (Nahmanides) PERFET
80980,Q88880,Yehuda
