# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q16242,Cen Shan Chi Chun,,No,No
Q16243,Cen Shan Yi Zhong,,No,No
Q16249,Lin Tong Cun,,No,No
Q16250,Dao Xie Tong You,,No,No
Q16251,Kōno Michinobu,,No,No
Q16252,Dao Xie Tong Zhen,,No,No
Q16253,He Ye Tong Cun,,No,No
Q16254,Gao Sip Chang Jun,,No,No
Q16255,Daughter of Kazanin Mochitada (wife of Hikosan Yoriari),,No,No
Q16256,Yao You,,No,No
Q16257,Bu Bu Jian Zhong,,No,No
Q16258,Bu Bu Jian Zheng,,No,No
Q1626,11 Eupercaria,,No,No
Q16261,Pu Sheng Gao Xiu,,No,No
Q16262,Teng Yuan Zhao Yin,,No,No
Q16263,Nikaido Yukichika (Nanboku-cho period),,No,No
Q16264,Er Jie Tang Xing Tong,,No,No
Q16265,Daughter of Nikaido Yukitomo (wife of Nikaido Akiyuki),,No,No
Q16268,Er Jie Tang Xing Zhi,,No,No
Q16269,Er Jie Tang Xing Yuan,,No,No
Q1627,12 Eupercaria,,No,No
Q16271,Bai Chuan Ya Jian Wang,,No,No
Q16273,Yūki Motomitsu,,No,No
Q16276,Fushimi-no-miya Sadatsune-shinnō,,No,No
Q16277,Yuan Ji You,,No,No
Q16278,Yuan Zong Chun,,No,No
Q1628,13 Eupercaria,,No,No
Q16280,Jing Yi Zhong Zhi,,No,No
Q16283,Nan Bo Zong Fu,,No,No
Q16284,Ren Mu Yi Zhong,,No,No
Q16285,Ren Mu Lai Zhang,,No,No
Q16286,Ren Mu Yi Chang,,No,No
Q16287,Xi Chuan Fan Shi,,No,No
Q16289,Xi Chuan Ye Shi,,No,No
Q16293,Xi Chuan Man Zhi,,No,No
Q16294,Xi Chuan Lai Yi,,No,No
Q16295,Daughter of Hosokawa Yorimoto (mother of Hosokawa Nariyuki),,No,No
Q16296,Saionji Sanetō,,No,No
Q16297,Zhu Wu Zhi Guang,,No,No
Q16298,Jie Qiao Yi Jia,,No,No
Q16299,Daughter of Kushihashi Michinori (wife of Kodera Norimoto),,No,No
Q16300,Dong Yuan Gong Shu,,No,No
Q16301,Zheng Qin Ting Gong Jian,,No,No
Q16302,Fang Cheng Jun Ji,,No,No
Q16303,daughter of Ichijo Fusaka (mother of Machi Akiko),,No,No
Q16304,Ting Xian Gu,,No,No
Q16305,Qing Shui Gu Gong Zhi,,No,No
Q16306,Ōgimachisanjō Kinmasa,,No,No
Q16307,San Tiao Xi Shi Lian,,No,No
Q16308,Sanjōnishi Sanetaka,,No,No
Q16309,Fuyufusa Madenokōji,,No,No
Q1631,14 Eupercaria,,No,No
Q16310,Kidera-no-miya Kuniyasu-shinnō,,No,No
Q16311,Cheng Dao Fa Qin Wang,,No,No
Q16312,Ming Ren Fa Qin Wang,,No,No
Q16315,A Ye Ji Yuan,,No,No
Q16316,Oguranomiya Kyōson,,No,No
Q16317,Yue Zhi Wei Tong,,No,No
Q16318,Yue Zhi Jia Jing,,No,No
Q16319,Yue Zhi Jia Ling,,No,No
Q1632,15 Eupercaria,,No,No
Q16320,daughter of Ochi Ieyoshi (wife of Furuichi Sumitane),,No,No
Q16321,Wu Wan Li Guang,,No,No
Q16323,Ri Ye Xi Sheng Guang,,No,No
Q16324,daughter of Hino Nishi Sukekuni (wife of Yanagiwara Tadahide),,No,No
Q16325,Wu Zhe Xiao Lu Long Guang,,No,No
Q16326,daughter of Mushanokoji Suketoshi (mistress of Ura Matsushigemitsu),,No,No
Q16327,Liu Yuan Xing Guang,,No,No
Q16328,Ting Teng Guang,,No,No
Q16329,daughter of Itsuji Tominaka (mistress of Ichijo Fusaka),,No,No
Q16330,Ichijō Fusamichi,,No,No
Q16331,Daughter of Ichijo Fusae (wife of Saionji Kinnobu),,No,No
Q16332,Daughter of Ichijo Fusae (wife of Tsuno Mototaka),,No,No
Q16333,Yu Ji Gong,,No,No
Q16334,Daughter of Ouchi Yoshioki (concubine of Ichijo Fusafuji),,No,No
Q16335,Fusamoto Ichijō,,No,No
Q16336,Ōuchi Harumichi,,No,No
Q16338,She Jin Qin Xiu,,No,No
Q16339,Wu Tiao Chang Jing,,No,No
Q16340,Wu Tiao Chang Chun,,No,No
Q16341,Chi Ming Yuan Ji Xin,,No,No
Q16344,Daughter of Takakura Nagatoyo (wife of Tokudaiji Kinari),,No,No
