local_qid,wikidata_qid,label_en,label_ace,label_af,label_am,label_an,label_ar,label_arz,label_ast,label_az,label_ba,label_bar,label_bcl,label_be,label_be-tarask,label_bg,label_bi,label_bn,label_bo,label_br,label_bs,label_ca,label_cbk-zam,label_ceb,label_chr,label_ckb,label_co,label_cs,label_cy,label_da,label_de,label_de-ch,label_el,label_en-ca,label_en-gb,label_eo,label_es,label_et,label_eu,label_ext,label_fa,label_fi,label_fr,label_fy,label_ga,label_gan,label_gl,label_got,label_gpe,label_guw,label_ha,label_he,label_hi,label_hif,label_hr,label_hu,label_hy,label_ia,label_id,label_ie,label_ig,label_ilo,label_io,label_is,label_it,label_iu,label_ja,label_jv,label_ka,label_kab,label_kk,label_km,label_kn,label_ko,label_ku,label_ky,label_la,label_lb,label_li,label_lij,label_lld,label_lo,label_lt,label_lv,label_lzh,label_map-bms,label_mg,label_mi,label_min,label_mk,label_ml,label_mn,label_mr,label_mrj,label_ms,label_mwl,label_my,label_nan,label_nb,label_nds,label_ne,label_new,label_nl,label_nn,label_nov,label_oc,label_pa,label_pap,label_pl,label_ps,label_pt,label_pt-br,label_qu,label_ro,label_ru,label_sa,label_scn,label_sco,label_sh,label_sk,label_sl,label_sm,label_so,label_sq,label_sr,label_sr-ec,label_su,label_sv,label_sw,label_ta,label_te,label_tg,label_th,label_tk,label_tl,label_tr,label_tt,label_tyv,label_uk,label_ur,label_uz,label_vep,label_vi,label_vo,label_wa,label_war,label_wuu,label_xal,label_yi,label_yo,label_yue,label_zh,label_zh-cn,label_zh-hans,label_zh-hant,label_zh-hk,label_zh-mo,label_zh-my,label_zh-sg,label_zh-tw,label_zu
Q16447,Q28503749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,왕후 석씨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vương hậu họ Seok,,,,,,,,,王后昔氏,,,,,,,,,
Q16452,Q84764619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,具足王后,,,,,,,,,
Q17638,Q84764622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thái hậu Somun,,,,,,,,,昭文太后,,,,,,,,,
Q17708,Q48890506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賀蘭僧伽,,,,,,,,,
Q17723,Q133447392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李氏,,,,,,,,,
Q19241,Q28501056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,석구추,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昔仇鄒,,,,,,,,,
Q19250,Q28775925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,원예영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金禮英,,,,,,,,,
Q19280,Q26121262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,王仁表,,,,,,,,,
Q19304,Q134079944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,楊氏,,,,,,,,,
Q19339,Q38976840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,餘姚縣主,,,餘姚縣主,,,,,,
Q19390,Q133447479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,周氏,,,,,,,,,
Q19395,Q10513994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,薛顗,,,,,,,,,
Q19399,Q66235068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,贺兰瑾,,,,,,,,,
