# Entities with Geni IDs but no Wikidata QIDs
qid,english_label,english_description,geni_ids
Q1807,Rakai Pikatan Mpu Manuku,,6000000040337959506
Q153492,ARUNDHATI Vasishta,Gaiad character,6000000006776835465
Q153670,Kancanasari bint Cucu Demunawan,Gaiad character?,6000000040963820534
Q2098,ĀYU Pururavas,,6000000010067752514
Q2389,Yuvanashva II,,6000000020919514107
Q2883,Private,,6000000176847049835
Q2910,Aldonza de Ayala,,6000000013008849507
Q2998,Itzchak P=AA,,6000000026380915616
Q2999,Shlomo ben David ben Shlomo ibn Yachya,,6000000050938246852
Q3009,Provencal,,6000000000348889242
Q30938,Eufrasia  de Guzman Porras y Franco,,6000000081478864854
Q30942,Gonzalo Francisco  de Guzmán y Porres,,6000000081482421823
Q30946,Luis  de Guzmán,,6000000014117768195
Q30950,Juan  Guzman Porras Franco,,6000000081481966349
Q30954,Antonio  Franco de Guzmán,,6000000081479130914
Q30958,Manuel  Franco de Guzman,,6000000081478253625
Q30962,Luis  Lasso de Mendoza y Osorio,,6000000026312372017
Q30966,Leonor  de Cartagena,,6000000081486636274
Q30970,Juan  Cervantes de Casaus,,6000000016974655579
Q30973,Francisco  de Cervantes,,6000000085314198848
Q30977,Diego  de Cervantes,,6000000085314198876
Q30981,Alonso  Gómez de Cervantes,,6000000085314198856
Q30985,Aldonsa  de Cervantes,,6000000085314198864
Q30990,Beatriz  de Bocanegra,,6000000085314198860
Q30994,Juana  de Cervantes,,6000000085314198880
Q30998,Francisca  de Casaus Cervantes,,6000000085314198852
Q31002,Inés  de Cervantes,,6000000085314198872
Q31006,Catalina  de Cervantes,,6000000085314198868
Q31010,Diego  de Cervantes,,6000000085310853939
Q31014,María  de Saavedra Cervantes,,6000000085310853943
Q31018,Juana  de Avellaneda,,6000000085310853947
Q31026,Alonso  Bernal de Zúñiga,,6000000009148838085
Q31030,Juan  de Avellaneda,,6000000033525652537
Q31034,Leonel  de Cervantes Saavedra y Tello,,6000000003199405179
Q31038,Juan  de Cervantes,,6000000015973024592
Q31042,Don Felipe  de Castilla y Zuñiga,,6000000043757967855
