# Entities with both Geni IDs and Wikidata QIDs
qid,english_label,english_description,wikidata_ids,geni_ids
Q16275,Go-Hanazono,emperor of Japan,Q451926,6000000011626994461
Q16441,Biryu,Korean Baekje dynasty king from 304 to 344,Q497553,6000000012927264812
Q16459,Emperor Gaozu of Tang,Founding emperor of the Tang Dynasty (566-635) (r. 618–626),Q9700,6000000075059949348
Q16460,Emperor Taizong of Tang,Chinese emperor of the Tang Dynasty (598-649) (r. 626-649),Q9701,6000000075061209887;6000000007915729523
Q16467,Princess Pingyang,Chinese princess,Q711427,6000000075061025854
Q16471,Guiyang,daughter of emperor Gaozu,Q11111831,6000000075061024836
Q16481,Li Yuanze,son of emperor Gaozu,Q11095408,6000000075061047827
Q16482,Li Yuanji,Chinese prince,Q699639,6000000075060976856
Q16483,Li Yuanming,son of emperor Gaozu,Q11095409,6000000075061053878;6000000129803912821
Q16484,Li Yuanjia,son of emperor Gaozu (619-688),Q11095411,6000000075061041833
Q16485,Li Yuanying,son of emperor Gaozu,Q10975505,6000000075061150883
Q16486,Li Yuanqing,son of emperor Gaozu,Q11095417,6000000075060939894
Q16487,Li Yuanyi,son of Gaozu emperor,Q10332683,6000000075060910838
Q16491,Li Yuanxiao,son of emperor Gaozu,Q11095425,6000000075060491026
Q16492,Li Yuanxiang,son of emperor Gaozu,Q11095431,6000000075061100883
Q16493,Li Yuanli,son of emperor Gaozu,Q11095432,6000000075060556084
Q16494,Li Yuanyu,son of emperor Gaozu,Q11095437,6000000075060953885
Q16495,Li Yuangui,son of emperor Gaozu,Q11095439,6000000075060831919
Q16499,Li Lingkui,son of emperor Gaozu,Q11098320,6000000075059722174
Q16501,Li Yu,Tang dynasty person CBDB = 188007,Q45475056,6000000075061083837
Q16502,Li Maorong,Tang dynasty person CBDB = 188017,Q45475502,6000000075061103821
Q16503,Li Yaochen,Tang dynasty person CBDB = 188019,Q45475565,6000000075060894930
Q16504,Li Shunchen,Tang dynasty person CBDB = 188023,Q45475819,6000000075060354066
Q16505,Li Yi,Tang dynasty person CBDB = 162588,Q45509606,6000000075061056830
Q16794,Oda Nobunaga,Japanese samurai and warlord (1534–1582),Q171411,6000000008261026303
Q17387,Go-Tsuchimikado,emperor of Japan,Q380623,6000000011627118319
Q17473,Go-Nara,emperor of Japan,Q349467,6000000011626574081
Q17628,Gusu,King of Korean Baekje from 214 to 234,Q497432,6000000012927543862
Q17644,Li Bing,official of Northern Zhou (Chinese Northern dynasties period); father of Emperor Gaozu of Tang,Q4308625,6000000074766890200
Q17648,Li Zhan,older brother of Emperor Gaozu of Tang,Q11097298,6000000075395524260
Q17659,Dou Shi,wife of Li Yuan,Q65801414,6000000075368567836
