# Entities with family relationships but no external identifiers
qid,english_label,english_description,fathers,mothers,children,spouses,has_p39_no_identifiers,has_p39_no_relatives
Q16401,,,Q28005;Q28017;Q15691;Q28011;Q16406;Q17517;Q28008;Q28014,Q17504;Q27987;Q27990;Q17507;Q27993;Q17509;Q27996;Q27999;Q17512;Q17513;Q28002;Q17515;Q17516,Q17108,Q17489,No,No
Q16406,,,,,Q16401,Q27999,No,No
Q16420,,,Q28181;Q28122;Q28190;Q28187;Q28178;Q17579;Q28184;Q17578,Q28175,,,No,No
Q16426,,,Q28200;Q16429;Q15695;Q28203;Q16428;Q16430,Q17517,Q17562,Q27963,No,No
Q16428,,,,,Q16426,,No,No
Q16429,,,,,Q16426,,No,No
Q16430,,,Q28221;Q17594;Q28217,Q28209;Q28213;Q17593,Q16426,Q17517,No,No
Q16431,,,Q28233;Q28237;Q15696,,Q17597,Q28225,No,No
Q16432,,,Q15697;Q28257;Q17607,Q28249;Q28253,Q28241,Q28245,No,No
Q16438,,,Q16440,Q15701,,,No,No
Q16439,,,,,Q15701,,No,No
Q16440,,,Q28329;Q17626,Q28325,Q15701,Q16438,No,No
Q1668,Bapirao,,Q153704;Q153704;Q153704,,Q1673;Q1673,,No,No
Q1673,Bachharaj,,Q1668;Q1668,,Q1680;Q1680,,No,No
Q16736,,,Q29105;Q18055;Q29097;Q29101,Q29089;Q29093,Q15934,Q16735,No,No
Q16798,,,Q29306;Q29302,Q29298,Q15989,Q16002,No,No
Q1680,Mundh,,Q1673;Q1673,,Q1689;Q1689,,No,No
Q1683,Gayatri Rajapatni,,Q1676;Q153217;Q153217;Q1676;Q153217,Q1684;Q1684,Q1691;Q1691,,No,No
Q1689,Deoraj,,Q1680;Q1680,,Q1698;Q1698,,No,No
Q1698,Bijairaj I,,Q1689;Q1689,,Q1705;Q1705,,No,No
Q1699,Wisnuwardana,,Q1691;Q153218;Q153218;Q1691;Q153218,,Q1706;Q1706,Q67969;Q48403,No,No
Q1705,Rao Tano,,Q1698;Q1698,,Q1712;Q1712,,No,No
Q17107,,,,,Q18516,Q30127,No,No
Q17108,,,Q17112;Q27287;Q27284;Q27290;Q27293;Q27975;Q27978;Q27963;Q30183;Q16401;Q27954;Q27972;Q27960;Q17501;Q30179;Q30187;Q27957;Q27984;Q17492;Q27966;Q17502;Q27969;Q27981,Q16118;Q17489;Q18052;Q30175;Q18542;Q18543;Q18544,Q30139,Q17985,No,No
Q17112,,,,Q18548,Q17108,Q16118,No,No
Q1712,Kehar I,,Q1705;Q1705,,Q1719;Q1719,,No,No
Q17174,,,,Q30235,Q16148,,No,No
Q17175,,,,,Q16148,,No,No
Q17176,,,Q18642;Q18643;Q18644,Q30400;Q18646;Q18647;Q18648;Q18649,Q16148,Q27377,No,No
Q17183,,,Q30420;Q18654;Q30416;Q30412;Q18656;Q30424;Q18655,Q30408,Q16149,,No,No
Q17188,,,Q30440;Q18670;Q18671;Q18672;Q18673,Q27410,Q17186,,No,No
Q1719,Majam Rao,,Q1712;Q1712,,Q1728;Q1728,,No,No
Q1728,Mangal Rao,,Q1719;Q1719,,Q1737;Q1737,,No,No
Q1737,Bhatti,,Q1728;Q1728,,Q1747;Q1747,,No,No
Q1745,"Prabhu Djoyolengkoro, Purwotjarito II",,Q153249;Q153249;Q153249,,Q1755;Q1755,,No,No
Q1747,Baland,,Q1737;Q1737,,Q1757;Q1757,,No,No
Q17489,,,Q27975;Q27978;Q27963;Q30183;Q16401,Q17108,Q18257,Q31353,No,No
Q17492,,,,,Q17108,Q18544,No,No
Q17501,,,Q31377;Q31373;Q28076;Q31381;Q31369;Q31385,Q19040;Q19041;Q19042;Q31361;Q31365;Q19045,Q17108,Q18542,No,No
Q17502,,,,,Q17108,Q18052,No,No
Q17504,,,,Q16401,Q18553,Q18990,No,No
Q17507,,,,Q16401,Q28924,,No,No
Q17509,,,,Q16401,Q28896,Q31401,No,No
Q17512,,,,Q16401,Q31409,Q31413,No,No
Q17513,,,,Q16401,Q31417,,No,No
Q17515,,,Q28011,Q16401,,,No,No
Q17516,,,Q28014,Q16401,,,No,No
Q17517,,,Q16430,Q16426,Q16401,,No,No
Q17524,,,Q31433,Q28020,Q19065,Q31441,No,No
Q17525,,,,,Q18566,Q31445,No,No
Q17535,,,,,,Q28035,No,No
Q1755,Prabu Sri Maha Panggung,,Q1745;Q1745,,Q1766;Q1766,,No,No
Q17562,,,Q31686;Q17563;Q28138;Q16426,Q27963,Q18548,,No,No
Q17563,,,,Q18566,Q17562,Q27963,No,No
Q17568,,,Q31702;Q31706;Q31698,Q31694,,,No,No
Q1757,Raja Salivahan,,Q1747;Q1747,,Q1768;Q1768,,No,No
Q17576,,,Q19158;Q31754,Q31746;Q31750,Q18642,Q19154,No,No
Q17578,,,Q31774;Q19162;Q31770;Q31778;Q31782;Q31802;Q31786;Q31790;Q31794;Q31798;Q19168;Q19167;Q31766;Q19164;Q19165;Q19166,Q31762,Q16420,Q28175,No,No
Q17579,,,Q31810;Q19180,Q31806,Q16420,,No,No
Q17585,,,,,Q19182,,No,No
Q17593,,,Q28221;Q17594,Q16430,,,No,No
Q17594,,,Q31694;Q19194;Q19195,Q31838;Q19191;Q31842;Q31846;Q36012,Q16430,Q17593,No,No
Q17607,,,Q31899,Q31895,Q16432,Q28253,No,No
Q1761,Maharaja Sriwijaya XIII - Sri Cudamani Warmadewa (988–1008),,Q153669;Q153669;Q153669,,Q1771;Q1771,,No,No
Q17626,,,Q31710,Q19195,Q16440,Q28325,No,No
Q1766,Prabu Suwelotjolo Medang Kamulan,,Q1755;Q1755,,Q1775;Q1775,,No,No
Q1768,Raja Gaj,,Q1757;Q1757,,Q1777;Q1777,,No,No
Q1771,Maharaja Sriwijaya XII - Sri Udayaditya Warmadewa,,Q1761;Q1761,,Q1780;Q1780,,No,No
Q1775,Prabu Anglingdriyo,,Q1766;Q1766,,Q1784;Q1784,,No,No
Q1777,Rajh,,Q1768;Q1768,,Q1786;Q1786,,No,No
Q1780,Maharaja Sriwijaya XI,,Q1771;Q1771,,Q1788;Q1788,,No,No
Q1784,Prabu Pantjodriyo,,Q1775;Q1775,,Q1792;Q1792,,No,No
Q1786,SUBAHU,,Q1777;Q1777,,Q1794;Q1794,,No,No
Q1788,Maharaja Sriwijaya X,,Q1780;Q1780,,Q1796;Q1796,,No,No
Q1792,Citrasoma,,Q1784;Q1784,,Q1801;Q1801,,No,No
Q1794,Bahubal,,Q1786;Q1786,,Q1803;Q1803,,No,No
Q1796,Maharaja Sriwijaya IX,,Q1788;Q1788,,Q1805;Q1805,,No,No
Q1801,Wijinteran,,Q1792;Q1792,,Q1811;Q1811,,No,No
Q1811,Gendrayana,,Q1801;Q1801,,Q1821;Q1821,,No,No
Q18516,,,Q18519;Q18520;Q30131;Q17107;Q18527;Q18518;Q18529;Q33924;Q18522;Q33915;Q33919;Q18523;Q18524;Q18525;Q18526;Q30135;Q33928;Q18530;Q33911,Q30127;Q31498;Q33882;Q33886;Q33890;Q33894;Q33899;Q33903;Q33907,Q20173,Q33866,No,No
Q18518,,,Q20204;Q20205;Q20197;Q33936;Q20196;Q20199;Q20198;Q20200;Q20201;Q20202,Q33932;Q20192;Q20193;Q20194;Q20195,Q18516,Q31498,No,No
Q18519,,,,Q20206,Q18516,Q30127,No,No
Q18520,,,,,Q18516,Q30127,No,No
Q18522,,,,,Q18516,Q33899,No,No
Q18523,,,Q33944;Q33948,Q33940,Q18516,Q33886,No,No
Q18524,,,Q20211,,Q18516,Q33886,No,No
Q18525,,,,,Q18516,Q33894,No,No
Q18526,,,,Q20212,Q18516,Q33882,No,No
Q18527,,,,,Q18516,Q30127,No,No
Q18529,,,Q20214;Q20215,Q33952,Q18516,Q31498,No,No
Q18530,,,,,Q18516,Q33907,No,No
Q18548,,,Q33972;Q17562,Q17112,Q18533,,No,No
Q18559,,,,Q17124,Q29623,,No,No
Q18566,,,Q17525;Q19069;Q31449;Q19068;Q19071;Q19072,Q31445;Q17563;Q34000;Q34004;Q34008,Q17125,Q30223,No,No
Q18623,,,Q18624;Q31947;Q18625;Q34161;Q34165;Q20299,Q27368;Q34157,Q18553,Q18990,No,No
Q18624,,,Q31454,,Q18623,Q27368,No,No
Q18625,,,Q20302,,Q18623,,No,No
Q18627,,,Q34182;Q34186;Q34174;Q34178,Q34170,Q17168,Q30364,No,No
Q18642,,,Q17576;Q19155,Q28104;Q19154;Q34198,Q17176,Q18646,No,No
Q18643,,,Q31850;Q31854;Q19196;Q20315;Q34222;Q34226;Q34214;Q20316;Q34218,Q28217;Q34202;Q34206;Q34210,Q17176,Q18647,No,No
Q18644,,,Q31818;Q20325;Q34242;Q20326;Q20327,Q34230;Q34234;Q34238,Q17176,Q18648,No,No
Q18646,,,Q18642,Q17176,Q20328,,No,No
Q18647,,,Q18643,Q17176,,,No,No
Q18648,,,Q18644,Q17176,,,No,No
Q18649,,,,Q17176,,,No,No
Q18654,,,Q34270;Q34274;Q34294;Q20340;Q34278;Q20347;Q34282;Q34298;Q34290;Q34286;Q20344,Q34254;Q34258;Q34262;Q34266,Q17183,,No,No
Q18655,,,,,Q17183,Q30408,No,No
Q18656,,,Q34302,,Q17183,,No,No
Q18670,,,Q34322;Q34330;Q34326;Q20359;Q20358,,Q17188,,No,No
Q18671,,,Q34338;Q34334,,Q17188,,No,No
Q18673,,,Q20355,,Q17188,Q27410,No,No
Q18679,,,Q34370;Q34020;Q34374;Q31842;Q34378;Q34382;Q20380;Q20379,Q34362;Q34366,Q17194,Q30448,No,No
Q18708,,,Q18710,Q27431,Q19670,Q29887,No,No
Q18709,,,Q18711;Q34515;Q20437,Q27431,Q19670,Q29887,No,No
Q18710,,,Q20439;Q20438;Q19219;Q19671,Q29101,Q18708,Q27431,No,No
Q18711,,,Q20441,Q34519,Q18709,Q27431,No,No
Q1908,Anjana,,Q1893;Q153354;Q153354;Q153354;Q1893,,,Q1927;Q1927,No,No
Q19086,,,,Q31530,,,No,No
Q19095,,,Q20857,Q20856,Q19194,Q28068,No,No
Q1910,Kacchana Of Devadaha,,Q1911;Q153355;Q153356;Q153355;Q153356;Q153355;Q153356;Q1911,Q1911;Q1911,,Q1927;Q1927,No,No
Q1911,Sihahanu King of Shakya,,Q153355;Q153356;Q153355;Q153356;Q153355;Q153356,Q1910;Q1910,Q1928;Q1928,Q1910;Q1910,No,No
Q19122,,,Q20896;Q31682;Q20882;Q35759;Q20892;Q20883;Q20889;Q20891;Q20885;Q35775;Q20888;Q20893;Q20894;Q20887;Q35755;Q35763;Q20895;Q35767,Q19165;Q20879;Q35751;Q20881,Q28130,Q31622,No,No
Q19123,,,,,Q28130,,No,No
Q19145,,,,Q28154,Q35807,,No,No
Q19146,,,,Q28154,Q35807,,No,No
Q19154,,,Q17576,Q18642,,,No,No
Q19155,,,,,Q18642,,No,No
Q19158,,,,,Q17576,Q31746,No,No
Q19162,,,Q35880;Q35884;Q35888;Q35892;Q35896;Q20937;Q35876;Q20938;Q20936,Q35872,Q17578,Q31762,No,No
Q19164,,,,Q31726,Q17578,,No,No
Q19165,,,Q35759;Q20892;Q20883;Q20889,Q19122,Q17578,,No,No
Q19166,,,,,Q17578,,No,No
Q19167,,,,,Q17578,,No,No
Q19168,,,,Q20945,Q17578,,No,No
Q19180,,,Q20206,,Q17579,,No,No
Q19182,,,Q17585,,,,No,No
Q19191,,,Q19195,Q17594,,,No,No
Q19194,,,Q19095,Q28068,Q17594,Q36012,No,No
Q19195,,,Q31710,Q17626,Q17594,Q19191,No,No
Q19196,,,,,Q18643,Q28217,No,No
Q19219,,,Q19220;Q19221;Q21040;Q36173,Q28273;Q36169,Q18710,,No,No
Q19220,,,,,Q19219,Q28273,No,No
Q19221,,,Q36181,Q36177;Q34226,Q19219,Q28273,No,No
Q19230,,,Q31943;Q19231;Q36213;Q36217,Q28313,Q21051,Q36209,No,No
Q19231,,,Q21056;Q36221;Q36225,Q36181,Q19230,Q28313,No,No
Q19235,,,,,Q31947,,No,No
Q19237,,,,,Q31947,,No,No
Q1927,Yashodara of Kosala,,Q1908;Q1910;Q1908;Q1910,,Q1928;Q1928,,No,No
Q1928,Jayasena,,Q2260;Q1911;Q1927;Q2260;Q1911;Q1927;Q2260,,Q1945;Q1945,,No,No
Q1945,Rananjaya,,Q1928;Q2268;Q1928;Q2268,,Q1959;Q1959,,No,No
Q1955,Prachetas (10 sons),,Q153390;Q153390;Q153390,,Q1968;Q1968,,No,No
Q1959,Kritanjaya,,Q1945;Q1945,,Q1972;Q1972,,No,No
Q19670,,,Q29089;Q33569;Q33573;Q33577;Q18708;Q20033;Q18709;Q33581;Q20034;Q36950;Q20435,Q29887,Q21636,Q21637,No,No
Q19671,,,,,Q18710,Q29101,No,No
Q1968,Prachinbarhi,,Q1955;Q1955,,Q1978;Q1978,Q68988;Q49767,No,No
Q1972,Dharmi,,Q1959;Q1959,,Q1983;Q1983,,No,No
Q1983,Brihadhvaj,,Q1972;Q1972,,Q1994;Q1994,,No,No
Q19849,,,Q37346;Q37350;Q20354;Q21790;Q37342,Q37330;Q37334;Q37338,Q18230,,No,No
Q19934,,,Q36245;Q37566;Q37570;Q21878,Q37562,Q18290,Q33330,No,No
Q1994,Sumitra Amitrajit I,,Q1983;Q1983,,Q2004;Q2004,,No,No
Q20033,,,Q37754;Q21971,Q36825,Q19670,Q29887,No,No
Q2004,Suparna,,Q1994;Q1994,,Q2015;Q2015,,No,No
Q20173,,,Q35872;Q18516;Q38076;Q38072;Q33870;Q33878;Q33874;Q20177,Q33866;Q38060;Q38064;Q38068,Q22098,,No,No
Q20177,,,,Q38096,Q20173,,No,No
Q2019,Dewi Jelita,,Q153435;Q153435;Q153435,,Q2031;Q2031,,No,No
Q20192,,,,Q18518,,,No,No
Q20193,,,Q20204;Q20205;Q20197;Q33936;Q20196;Q20199;Q20198,Q18518,,,No,No
Q20194,,,,Q18518,,,No,No
Q20195,,,,Q18518,Q38116,,No,No
Q20196,,,Q38124;Q38128;Q38132;Q38136;Q38140;Q22126;Q22127,Q38120,Q18518,Q20193,No,No
Q20197,,,Q22135;Q38144;Q22133,Q22132,Q18518,Q20193,No,No
Q20198,,,Q22141;Q22138,Q22136;Q22137,Q18518,Q20193,No,No
Q20199,,,,,Q18518,Q20193,No,No
Q2020,Mulawarman,,Q153436;Q153436;Q153436,,,Q2032;Q2032,No,No
Q20200,,,Q22143,Q22142,Q18518,,No,No
Q20201,,,Q22145;Q22146,Q22144,Q18518,,No,No
Q20202,,,,,Q18518,,No,No
Q20204,,,,Q22148,Q18518,Q20193,No,No
Q20205,,,Q22150,Q22149,Q18518,Q20193,No,No
Q20206,,,,Q18519,Q19180,,No,No
Q20211,,,Q38120,,Q18524,,No,No
Q20212,,,,Q18526,Q22155,,No,No
Q20214,,,Q22144,Q22159;Q22160;Q22161,Q18529,,No,No
Q20215,,,Q22149;Q22163,Q22162,Q18529,,No,No
Q20302,,,Q38413;Q38409;Q22256;Q38405,,Q18625,,No,No
Q2031,Wirawarman,,Q2019;Q2019,,,Q2032;Q2032,No,No
Q20315,,,,,Q18643,Q34202,No,No
Q20316,,,Q38433,,Q18643,Q34202,No,No
Q2032,Sri Gari,,Q2020;Q2031;Q2020;Q2031,,Q2045;Q2045,,No,No
Q20325,,,Q22268,Q34294,Q18644,Q34234,No,No
Q20326,,,,Q38441,Q18644,Q34238,No,No
Q20327,,,,Q22271,Q18644,,No,No
Q2034,ULMUKHA,,Q153443;Q153443;Q153443,,Q2047;Q2047,,No,No
Q20340,,,Q38461;Q38465;Q38060;Q22279;Q22266,,Q18654,Q34262,No,No
Q20344,,,Q22283,,Q18654,Q34266,No,No
Q20347,,,,,Q18654,,No,No
Q20354,,,Q36177;Q38481;Q22288,Q30416;Q22286;Q38477,Q19849,Q37330,No,No
Q20355,,,Q20356,Q30420,Q18673,,No,No
Q20356,,,Q38497;Q38473;Q38493;Q22295;Q22292;Q22294,Q31850;Q38485;Q38489,Q20355,Q30420,No,No
Q20358,,,,,Q18670,,No,No
Q20359,,,Q35803;Q22305;Q22304,,Q18670,,No,No
Q20379,,,Q38570;Q22325,Q34358,Q18679,Q34366,No,No
Q20380,,,,,Q18679,Q34366,No,No
Q20386,,,Q22328,,Q18680,,No,No
Q20394,,,Q22333,,Q30472,Q34403,No,No
Q20404,,,Q22344;Q22343,Q30480,Q21803,,No,No
Q20416,,,Q38241;Q22357;Q22358,Q34270,Q18695,,No,No
