# Entities with external identifiers but no family relationships
qid,english_label,english_description,wikidata_ids,geni_ids,uuid_ids,genealogy_ids,has_p39_no_identifiers,has_p39_no_relatives
Q16244,Hatakeyama Mochikuni,,Q11578637,,,,No,No
Q16245,Hatakeyama Mochinaga,,Q11578638,,,,No,No
Q16246,Hatakeyama Mochitomi,,Q11578639,,,,No,No
Q16247,Shimazu Mochihisa,,Q11246696,,,,No,No
Q16248,Shimazu Tadakuni,,Q11162745,,,,No,No
Q1625,"Ephippiformes (spadefishes, batfishes)",,,,6718AA913D5CD1EFBC119822EF79916CFF28,,No,Yes
Q16259,Ozuki no Muneyoshi,,Q108716782,,,,No,No
Q16260,Maeno Tsunamune,Japanese military commander,Q108781710,,,,No,No
Q16266,Satake Tomoyoshi,,Q11383381,,,,No,No
Q16267,Satake Yoshinobu,,Q11383430,,,,No,No
Q16270,Konoe Fusatsugu,Japanese noble,Q3198709,,,805048,No,No
Q16272,Mitsuchika,,Q110010033,,,,No,No
Q16274,Niwata Yukiko,mother of Japanese emperor Go-Hanazono,Q11486211,,,I00523422,No,No
Q16275,Go-Hanazono,emperor of Japan,Q451926,6000000011626994461,,485524;I00523423;Go-Hanazono-tennō_後花園天皇-1,No,No
Q16279,Ii Yukinao,,Q29410697,,,,No,No
Q16281,Serada Mitsuyoshi,,Q60989727,,,,No,No
Q16282,Saionji Kinna,,Q7223130,,,,No,No
Q16288,Hoshikawa Kiyouji,,Q11605934,,,,No,No
Q1629,Chaetodontiformes (butterflyfishes),,,,6718AAEF3D5CD1EFBC119822EF79916C5DEE,,No,Yes
Q16290,Hosokawa Yoriyuki,Samurai of the Hosokawa clan,Q1139739,,,,No,No
Q16291,Hosokawa Akiharu,,Q11606003,,,,No,No
Q16292,Hosokawa Yoriari,,Q11606025,,,,No,No
Q1630,"Sciaenidae (drums, croakers)",,,,6718AAF5F60001EFBC119822EF79916CF0D4,,No,Yes
Q16313,Tokugawa Arichika,,Q11488736,,,,No,No
Q16314,Abe Saneharu,,Q11657991,,,,No,No
Q16322,Hino Arimitsu,,Q11510598,,,,No,No
Q1633,"Acanthuriformes (surgeonfishes, ponyfishes)",,,,6718AB2D3D5CD1EFBC119822EF79916C9C22,,No,Yes
Q16337,Settsu no Chikaaki,,Q11498582,,,,No,No
Q1634,"Monodactylidae (moonyfishes, fingerfishes)",,,,6718AB3CF60001EFBC119822EF79916C387D,,No,Yes
Q16342,Reizei Tamemasu,1516 - 22 Sep 1570,Q11395360,,,冷泉-5,No,No
Q16343,Myouyu,,Q120731997,,,,No,No
Q16345,Tokudaiji Saneatsu,Japanese politician,Q11489584,,,,No,No
Q16351,Koga Michihiro,,Q24859424,,,,No,No
Q16353,Imadegawa Kinnao,,Q11376745,,,,No,No
Q16356,Kanroji Motonaga,,Q17990301,,,,No,No
Q16359,Michihide Nakanoin,,Q24040325,,,,No,No
Q1636,Emmelichthyidae (rovers),,,,6718AB513D5CD1EFBC119822EF79916CC0F6,,No,Yes
Q16362,Niwata Shigekata,,Q123406320,,,,No,No
Q16363,Niwata Tsuneari,,Q15043480,,,,No,No
Q16376,Hino Mitsuko,,Q109259134,,,,No,No
Q16377,Itsutsuji Asako,,Q109260790,,,,No,No
Q1638,Pomacanthidae (angelfishes),,,,6718AB5E3D5CD1EFBC119822EF79916CCD9F,,No,Yes
Q16380,Date Narimune,,Q10885147,,,,No,No
Q16382,Hino Yoshisuke,,Q11510625,,,,No,No
Q16386,Hino Tomiko,Proeminent figure during the Ōnin war,Q5306708,,,,No,No
Q16388,daughter of Imagawa Norimasa,,Q108532803,,,,No,No
Q16389,Ashikaga Yoshihisa,9th shogun of the Ashikaga shogunate,Q447639,,,994336,No,No
Q16390,Hino Yoshiko,,Q108454736,,,,No,No
Q16391,Ashikaga Yoshitane,"Tenth shōgun of the Ashikaga shogunate of Japan (1490–1493, 1508–1521)",Q708527,,,994338,No,No
Q16393,Mizuno Yoshizumi,,Q11549456,,,,No,No
Q16395,Ashikaga Chachamaru,2nd Horikoshi Kubō,Q11636821,,,,No,No
Q16397,Ashikaga Jundoshi,,Q11636795,,,,No,No
Q16398,Masaharu Oda,,Q11463127,,,,No,No
Q1640,Lutjaniformes (snappers),,,,6718AB6B3D5CD1EFBC119822EF79916CDA48,,No,Yes
Q1642,Callanthiidae (splendid perches),,,,6718AB763D5CD1EFBC119822EF79916CE5D7,,No,Yes
Q1643,Malacanthidae (tilefishes),,,,6718AB7CF60001EFBC119822EF79916C78BD,,No,Yes
Q16441,Biryu,Korean Baekje dynasty king from 304 to 344,Q497553,6000000012927264812,,,No,No
Q16443,Jin Yufu,,Q28517375,,,,No,No
Q16444,Cheomhae of Silla,Ruler of Korean state of Silla from 247 to 261,Q485584,,,,No,No
Q16445,Imae,prince of silla dynasty,Q28501059,,,,No,No
Q16446,Seok Goljon,,Q28501058,,,,No,No
Q16447,Q28503749,,Q28503749,,,,No,No
Q16448,Sok Naehae,King of Korean Silla dynasty from 196 to 230,Q496614,,,,No,No
Q16449,Sok Uro,,Q5368339,,,,No,No
Q16450,Heulhae,the king of the Silla dynasty of Korea,Q496697,,,,No,No
Q16451,Girim of Silla,King of Silla,Q485627,,,,No,No
Q16452,Q84764619,,Q84764619,,,,No,No
Q16453,Kim Hyoyang,,Q12589365,,,,No,No
Q16454,Queen Gyeongsu,,Q16163533,,,,No,No
Q16455,Phu nhân Sammo,,Q84688880,,,,No,No
Q16456,Hyegong of Silla,ruler of Silla,Q496772,,,,No,No
Q16457,Chwihui of Geumgwan Gaya,Ruler of Gaya,Q491122,,,,No,No
Q16459,Emperor Gaozu of Tang,Founding emperor of the Tang Dynasty (566-635) (r. 618–626),Q9700,6000000075059949348,,1420120;I00428297;alvin-person:60823,No,No
Q1646,Lobotiformes (tripletails),,,,6718ABA63D5CD1EFBC119822EF79916C1547,,No,Yes
Q16460,Emperor Taizong of Tang,Chinese emperor of the Tang Dynasty (598-649) (r. 626-649),Q9701,6000000075061209887;6000000007915729523,,I00428299,No,No
Q16461,Danyang,daughter of emperor Gaozu,Q10877398,,,,No,No
Q16462,Jiujiang,daughter of emperor Gaozu,Q10878912,,,,No,No
Q16463,Qianjin,daughter of emperor Gaozu,Q10905008,,,,No,No
Q16464,Nanchang,daughter of emperor Gaozu,Q10908057,,,,No,No
Q16465,Anping,daughter of emperor Gaozu,Q10946662,,,,No,No
Q16466,Changle,daughter of emperor Gaozu,Q11060429,,,,No,No
Q16467,Princess Pingyang,Chinese princess,Q711427,6000000075061025854,,,No,No
Q16468,Luling,daughter of emperor Gaozu,Q11064905,,,,No,No
Q16469,Fangling,daughter of emperor Gaozu,Q11496708,,,,No,No
Q1647,Spariformes,,,,6718ABABF60001EFBC119822EF79916CA720,,No,Yes
Q16470,Li Chengxia,daughter of emperor Gaozu,Q11152626,,,,No,No
Q16471,Guiyang,daughter of emperor Gaozu,Q11111831,6000000075061024836,,,No,No
Q16472,Zhending,daughter of emperor Gaozu,Q16603543,,,,No,No
Q16473,Linhai,daughter of emperor Gaozu,Q16603582,,,,No,No
Q16474,Wanchun,daughter of emperor Gaozu,Q15951700,,,,No,No
Q16475,Hengyang,daughter of emperor Gaozu,Q15955551,,,,No,No
Q16476,Xiangyang,daughter of emperor Gaozu,Q16603624,,,,No,No
Q16477,Changsha,eldest daughter of emperor Gaozu,Q16603689,,,,No,No
Q16478,Guantao,daughter of emperor Gaozu,Q16603735,,,,No,No
Q16479,Gaomi,daughter of emperor Gaozu,Q11669188,,,,No,No
Q16480,Li Yuanheng,son of emperor Gaozu,Q11095406,,,,No,No
Q16481,Li Yuanze,son of emperor Gaozu,Q11095408,6000000075061047827,,,No,No
Q16482,Li Yuanji,Chinese prince,Q699639,6000000075060976856,,,No,No
Q16483,Li Yuanming,son of emperor Gaozu,Q11095409,6000000075061053878;6000000129803912821,,,No,No
Q16484,Li Yuanjia,son of emperor Gaozu (619-688),Q11095411,6000000075061041833,,,No,No
Q16485,Li Yuanying,son of emperor Gaozu,Q10975505,6000000075061150883,,,No,No
Q16486,Li Yuanqing,son of emperor Gaozu,Q11095417,6000000075060939894,,,No,No
Q16487,Li Yuanyi,son of Gaozu emperor,Q10332683,6000000075060910838,,,No,No
Q16488,Li Yuanfang,son of emperor Gaozu,Q11095420,,,,No,No
Q16489,Li Yuanchang,son of emperor Gaozu,Q11095421,,,,No,No
Q1649,Siganidae (rabbitfishes),,,,6718ABBB3D5CD1EFBC119822EF79916C2A58,,No,Yes
Q16490,Li Yuanjing,son of emperor Gaozu,Q11095423,,,,No,No
Q16491,Li Yuanxiao,son of emperor Gaozu,Q11095425,6000000075060491026,,,No,No
Q16492,Li Yuanxiang,son of emperor Gaozu,Q11095431,6000000075061100883,,,No,No
Q16493,Li Yuanli,son of emperor Gaozu,Q11095432,6000000075060556084,,,No,No
Q16494,Li Yuanyu,son of emperor Gaozu,Q11095437,6000000075060953885,,,No,No
Q16495,Li Yuangui,son of emperor Gaozu,Q11095439,6000000075060831919,,,No,No
Q16496,Li Jiancheng,crown prince of the Tang Dynasty in China (589-626),Q711674,,,,No,No
Q16497,Li Zhiyun,son of emperor Gaozu,Q11096905,,,,No,No
Q16498,Li Xuanba,son of emperor Gaozu,Q4308304,,,,No,No
Q16499,Li Lingkui,son of emperor Gaozu,Q11098320,6000000075059722174,,,No,No
Q16500,Liu Shi,daughter of Liu De Wei,Q65803435,,,,No,No
Q16501,Li Yu,Tang dynasty person CBDB = 188007,Q45475056,6000000075061083837,,,No,No
Q16502,Li Maorong,Tang dynasty person CBDB = 188017,Q45475502,6000000075061103821,,,No,No
