# Complete genealogy data for entities with Wikidata QIDs
qid,english_label,english_description,wikidata_ids,geni_ids,uuid_ids,genealogy_ids,fathers,mothers,children,spouses
Q16244,Hatakeyama Mochikuni,,Q11578637,,,,,,,
Q16245,Hatakeyama Mochinaga,,Q11578638,,,,,,,
Q16246,Hatakeyama Mochitomi,,Q11578639,,,,,,,
Q16247,Shimazu Mochihisa,,Q11246696,,,,,,,
Q16248,Shimazu Tadakuni,,Q11162745,,,,,,,
Q16259,Ozuki no Muneyoshi,,Q108716782,,,,,,,
Q16260,Maeno Tsunamune,Japanese military commander,Q108781710,,,,,,,
Q16266,Satake Tomoyoshi,,Q11383381,,,,,,,
Q16267,Satake Yoshinobu,,Q11383430,,,,,,,
Q16270,Konoe Fusatsugu,Japanese noble,Q3198709,,,805048,,,,
Q16272,Mitsuchika,,Q110010033,,,,,,,
Q16274,Niwata Yukiko,mother of Japanese emperor Go-Hanazono,Q11486211,,,I00523422,,,,
Q16275,Go-Hanazono,emperor of Japan,Q451926,6000000011626994461,,485524;I00523423;Go-Hanazono-tennō_後花園天皇-1,,,,
Q16279,Ii Yukinao,,Q29410697,,,,,,,
Q16281,Serada Mitsuyoshi,,Q60989727,,,,,,,
Q16282,Saionji Kinna,,Q7223130,,,,,,,
Q16288,Hoshikawa Kiyouji,,Q11605934,,,,,,,
Q16290,Hosokawa Yoriyuki,Samurai of the Hosokawa clan,Q1139739,,,,,,,
Q16291,Hosokawa Akiharu,,Q11606003,,,,,,,
Q16292,Hosokawa Yoriari,,Q11606025,,,,,,,
Q16313,Tokugawa Arichika,,Q11488736,,,,,,,
Q16314,Abe Saneharu,,Q11657991,,,,,,,
Q16322,Hino Arimitsu,,Q11510598,,,,,,,
Q16337,Settsu no Chikaaki,,Q11498582,,,,,,,
Q16342,Reizei Tamemasu,1516 - 22 Sep 1570,Q11395360,,,冷泉-5,,,,
Q16343,Myouyu,,Q120731997,,,,,,,
Q16345,Tokudaiji Saneatsu,Japanese politician,Q11489584,,,,,,,
Q16351,Koga Michihiro,,Q24859424,,,,,,,
Q16353,Imadegawa Kinnao,,Q11376745,,,,,,,
Q16356,Kanroji Motonaga,,Q17990301,,,,,,,
Q16359,Michihide Nakanoin,,Q24040325,,,,,,,
Q16362,Niwata Shigekata,,Q123406320,,,,,,,
Q16363,Niwata Tsuneari,,Q15043480,,,,,,,
Q16376,Hino Mitsuko,,Q109259134,,,,,,,
Q16377,Itsutsuji Asako,,Q109260790,,,,,,,
Q16380,Date Narimune,,Q10885147,,,,,,,
Q16382,Hino Yoshisuke,,Q11510625,,,,,,,
Q16386,Hino Tomiko,Proeminent figure during the Ōnin war,Q5306708,,,,,,,
Q16388,daughter of Imagawa Norimasa,,Q108532803,,,,,,,
Q16389,Ashikaga Yoshihisa,9th shogun of the Ashikaga shogunate,Q447639,,,994336,,,,
Q16390,Hino Yoshiko,,Q108454736,,,,,,,
Q16391,Ashikaga Yoshitane,"Tenth shōgun of the Ashikaga shogunate of Japan (1490–1493, 1508–1521)",Q708527,,,994338,,,,
Q16393,Mizuno Yoshizumi,,Q11549456,,,,,,,
Q16395,Ashikaga Chachamaru,2nd Horikoshi Kubō,Q11636821,,,,,,,
Q16397,Ashikaga Jundoshi,,Q11636795,,,,,,,
Q16398,Masaharu Oda,,Q11463127,,,,,,,
