qid,wikidata_qid,P7931,P6821,P8857,P7969,P9129,P3217,P6996,P2889,P4193,P535,P4108,P7352,P8094,P9644,P6192,P2503,P4116,P3051,P9195,P4620,P9280,P5452,P7434,P9495,P5871,P8462,P1185,P13492,P7929,P8143,P8356,P8172,P4963,P6303,P5259,P5324,P4819,P5316,P5536,P4820,P4638,P4159,P7607,P2949,P1819
qid,wikidata_qid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q680,Q19842587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1353,Q751437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1354,Q599176,,,,,,,,,,,,,,,,,,,,,,,,,,,153815,,,,,,,,,,,,,,,,,,
Q1676,Q3631722,,,,,,,,,,,,,,,,,,,,,,,,,,,330040,,,,,,,,,,,,,,,,,,
Q1681,Q29085,,,,,,,,,,,,,,,,,,,,,,,,,,,330086,,,,,,,,,,,,,,,,,,
Q1684,Q49334,,,,,,,,,,,,,,,,,,,,,,,,,,,330091,,,,,,,,,,,,,,,,,,
Q1691,Q47279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1815,Q4199265,,,,,,,,,,,,,,,,,,,,,,,,,,,769161,,,,,,,,,,,,,,,,,,
Q1877,Q890382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1888,Q185790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1906,Q844424,,,,,,,,,,,,,,,,,,,,,,,,,,,637060,,,,,,,,,,,,,,,,,,
Q1924,Q1513261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1930,Q1230306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1939,Q241908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1944,Q1973947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2074,Q3878846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2076,Q1377025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2086,Q854679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2165,Q24327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2175,Q24395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2188,Q24405,,,,,,,,,,,,,,,,,,,,,,,,,,,324706,,,,,,,,,,,,,,,,,,
Q2194,Q538082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2485,Q278756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2489,Q297588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2490,Q256430,,,,,,,,,,,,,,,,,,,,,,,,,,,157598,,,,,,,,,,,,,,,,,,
Q2494,Q314378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2495,Q311650,,,,,,,,,,,,,,,,,,,,,,,,,,,334683,,,,,,,,,,,,,,,,,,
