,Language family,Native name (endonym),639-1,639-2/T,639-2/B,639-3,Description,☾,♂,☿,♃,♀,♄,☉,♐︎,♑︎,♒︎,♓︎,♈︎,♉︎,♊︎,♋︎,♌︎,♍︎,♎︎,♏︎,⛎,🕎,Sagittarii,Capricorni,Aquarii,Piscium,Arietis,Tauri,Geminorum,Karkinii,Leonis,Virginis,Librae,Scorpii,Ophiuchi,Horii,AM,PM,:,-,-,,,
Abkhazian,Northwest Caucasian,аҧсуа бызшәа аҧсшәа,ab,abk,abk,abk,also known as Abkhaz,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,--,,,
Afar,Afro-Asiatic,Afaraf,aa,aar,aar,aar,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Afrikaans,Indo-European,Afrikaans,af,afr,afr,afr,Description,Maandag," Dinsdag"," Woensdag"," Donderdag"," Vrydag"," Saterdag"," Sondag"," Boogskutter"," Steenbok"," Waterman"," Vis"," Ram"," Bul"," Tweeling"," Karkino"," Leo"," Maagd"," Weegskaal"," Skerpioen"," Ophiuchus"," Horus"," van Boogskutter"," van Steenbok"," van Waterman "," van Vis"," van Ram"," van Taurus"," van Tweeling"," van Karkino"," van Leo"," van Maagd"," van Weegskaal"," van Skerpioen"," van Ophiuchus"," van Horus"," AM"," PM",:,-,,,,
Akan,Niger–Congo,Akan,ak,aka,aka,aka + 2,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Albanian,Indo-European,Shqip,sq,sqi,alb,sqi + 4,"macrolanguage ""Albanian Phylozone"" in 639-6",E hënë,e martë,e mërkurë,e enjte,e enjte,e premte,e shtunë,e dielë,Shigjetari,Bricjapi,Ujori,Peshqit,Dashi,Demi,Binjakët,Karkino,Leo,Virgjëresha,Peshorja,Akrepi,Ophiuchus,Horus,i Shigjetarit,të Bricjapit,të Ujorit,e Peshqve,e Dashi,e Demi,e Binjakëve,e Karkino,e Leo,e Virgjëreshës,e Peshores,e Akrepit,e Ophiuchus,e Horus,AM,PM,-,,,,
Amharic,Afro-Asiatic,አማርኛ,am,amh,amh,amh,Description,ሰኞ,ማክሰኞ,ረቡዕ,ሐሙስ,አርብ,ቅዳሜ,እሁድ,ሳጂታሪየስ,ካፕሪኮርን,አኳሪየስ,ፒሰስ,አይሪስ,ታውረስ,ጂሚኒ,ጐርምጥ,ሊዮ,ቫይጎ,ሊብራ,ስኮርፒዮ,ኦፊቹስ,ሆረስ,AM,PM,:,:,,,,,,,,,,,,,,-,,,,
Arabic,Afro-Asiatic,العربية,ar,ara,ara,ara + 29,macrolanguage Standard Arabic is [arb],الاثنين,الثلاثاء,الأربعاء,الخميس,الجمعة,السبت,الأحد,القوس,الجدي,الدلو,الحوت,الحمل,الثور,الجوزاء,السرطان,الأسد,العذراء,الميزان,العقرب,"الحواء ",ذو_القرنين,القوس,الجدي,الدلو,الحوت,الحمل,الثور,الجوزاء,السرطان,الأسد,العذراء,الميزان,العقرب,الحواء,ذو_القرنين,AM,PM,:,-,,,,
Aragonese,Indo-European,aragonés,an,arg,arg,arg,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Armenian,Indo-European,Հայերեն,hy,hye,arm,hye,"also known as Հայերէն; ISO 639-3 code ""hye"" is for Eastern Armenian ""hyw"" is for Western Armenian and ""xcl"" is for Classical Armenian",Երկուշաբթի," երեքշաբթի"," չորեքշաբթի"," հինգշաբթի"," ուրբաթ"," շաբաթ"," կիրակի"," Աղեղնավոր"," Այծեղջյուր"," Aրհոս"," Ձկներ"," Խոյ"," Tուլ"," Երկվորյակ"," Կարկինո"," Առյուծ"," Կույս"," Կշեռք"," Կարիճ"," Օֆիուչուս"," Հորուս"," Աղեղնավոր"," Այծեղջի"," qրհոս "," Ձկների"," Խոյերի"," aurուլերի"," Երկվորյակների"," Կարկինոյի"," Լեոյի"," Կույսերի"," Կշեռքների"," Կարիճի"," Կարիճի"," Օֆիուչուսի"," Հորուսի"," AM"," PM",-,,,,
Assamese,Indo-European,অসমীয়া,as,asm,asm,asm,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Avaric,Northeast Caucasian,авар мацӀ магӀарул мацӀ,av,ava,ava,ava,also known as Avar,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Avestan,Indo-European,avesta,ae,ave,ave,ave,ancient,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Aymara,Aymaran,aymar aru,ay,aym,aym,aym + 2,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Azerbaijani,Turkic,azərbaycan dili,az,aze,aze,aze + 2,macrolanguage,Bazar ertəsi," Çərşənbə axşamı"," Çərşənbə"," Cümə"," Cümə"," Şənbə"," Bazar"," Oxatan"," Dolça"," Balıqlar"," Qoç"," Buğa"," Əkizlər"," Karkino"," Şir"," Qız"," Tərəzi"," Əqrəb"," Əqrəb"," Oğlaq"," Oğlaq"," Oğlaq"," Dolça "," Balıqlar"," Qoç"," Buğa"," Əkizlər"," Karkino"," Leo"," Qız"," Tərəzi"," Əqrəb"," Ophiuchus"," Horus"," AM"," PM",:,,-,,,,
Bambara,Niger–Congo,bamanankan,bm,bam,bam,bam,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Bashkir,Turkic,башҡорт теле,ba,bak,bak,bak,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Basque,Language isolate,euskara euskera,eu,eus,baq,eus,Description,Astelehena," asteartea"," asteazkena"," osteguna"," ostirala"," larunbata"," igandea"," Sagittarius"," Capricornio"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," Sagittarius"," Capricornio"," Aquarius "," de Pisces"," de Aries"," de Taurus"," de Gemini"," de Karkino"," de Leo"," de Virgo"," de Libra"," de Escorpio"," de Ophiuchus"," de Horus"," AM"," PM",:,-,,,,
