Date_Value,Category,Count,Year,Issues,Sample_Line,Sample_Individual,Sample_Name
7 AUG 2025,future,97545,2025,Future date: 2025,26,I1,Aster /Alpha/
1150,medieval_late,328,1150,Post-1000 AD (should be trimmed): 1150,346455,I36172,D.Soeiro Ausendes //
1050,medieval_late,276,1050,Post-1000 AD (should be trimmed): 1050,410315,I40348,Hiyya HaNasi //
1100,medieval_late,214,1100,Post-1000 AD (should be trimmed): 1100,42290,I9576,SUPRATĪKA /Placeholder surname/
1200,medieval_late,207,1200,Post-1000 AD (should be trimmed): 1200,59107,I11202,Sahdev /DIWAKAR/
950,ad_standard,198,950,,537677,I45990,Hugo /Soares Belfaguer/
1 JAN 1200,medieval_late,175,1200,Post-1000 AD (should be trimmed): 1200,737935,I52972,"Centule VI, Viscount of Béarn //"
1 JAN 1100,medieval_late,164,1100,Post-1000 AD (should be trimmed): 1100,715388,I51968,Gómez González //
1000,ad_standard,157,1000,,550335,I46237,Elvira /Rodríguez/
900,ad_standard,136,900,,549322,I46196,Sarracina //
1250,medieval_late,135,1250,Post-1000 AD (should be trimmed): 1250,417247,I40538,Todros ben Daniel /Annyas/
200 B.C.,bc,113,-200,,326170,I35627,Pinarius //
1 JAN 100 B.C.,bc,107,-1,,246342,I33643,Hiempsal II //
100 B.C.,bc,107,-100,,1005363,I66583,Laodice of Cappadocia //
1 JAN 200 B.C.,bc,106,-1,,246340,I33643,Hiempsal II //
850,ad_standard,105,850,,523673,I45675,Hasadiah (Hasdai) /ben Hananel I/
1 JAN 1000,ad_standard,105,1000,,701130,I51324,Aboazar Lovesendes //
1130,medieval_late,102,1130,Post-1000 AD (should be trimmed): 1130,570169,I46754,"Sancho Nuñes de Celanova, Señor de Barbosa //"
50 B.C.,bc,101,-50,,323543,I35530,Titus Flavius Petro //
1170,medieval_late,101,1170,Post-1000 AD (should be trimmed): 1170,413171,I40410,"Makir ben Sheshet Perfet, /(Baillif)/"
50,malformed,98,,Unparseable date format,207010,I31463,Gnaeus Pedanius Fuscus /Salinator/
1 JAN 300 B.C.,bc,93,-1,,340928,I35918,Publius Cornelius Sulla //
1 JAN 400 B.C.,bc,89,-1,,343479,I36001,Lagus //
1030,medieval_late,88,1030,Post-1000 AD (should be trimmed): 1030,32461,I8867,Maharaja Sriwijaya XV - Sangrama-Vijayottunggawarman (1017-1030) /Placeholder surname/
1001,medieval_late,82,1001,Post-1000 AD (should be trimmed): 1001,405385,I40211,"Hizkiya ""Zuṭṭa"" /ben Yehudah/"
901,ad_standard,82,901,,574080,I46881,"Ava, comtessa consort de Cerdanya //"
300 B.C.,bc,81,-300,,342700,I35965,Andromachus //
100,ad_standard,81,100,,201215,I31171,Julia Serviana /Paulina/
1060,medieval_late,81,1060,Post-1000 AD (should be trimmed): 1060,409844,I40335,/bar Mar Shealtiel/
1160,medieval_late,81,1160,Post-1000 AD (should be trimmed): 1160,411547,I40381,Saul /Ibn Tibbon/
150 B.C.,bc,80,-150,,338892,I35890,Publius Licinius Crassus Dives //
1040,medieval_late,80,1040,Post-1000 AD (should be trimmed): 1040,409595,I40330,Ali /ben Aaron ibn 'Allan/
1180,medieval_late,79,1180,Post-1000 AD (should be trimmed): 1180,418246,I40584,Don Yehuda ibn Yahya ibn Ya'ish //
600,ad_standard,75,600,,212453,I31782,/الخطاب بن نفيل/
1101,medieval_late,75,1101,Post-1000 AD (should be trimmed): 1101,670032,I49729,Sancho /Fortún/
400,ad_standard,74,400,,175143,I30024,Gratianus Funarius //
1090,medieval_late,74,1090,Post-1000 AD (should be trimmed): 1090,567058,I46628,D. Egas /Gomes de Souza/
800,ad_standard,71,800,,401174,I40106,Baboi-Moshe /ben Yitzhak ibn Sāqawayh/
1300,medieval_late,71,1300,Post-1000 AD (should be trimmed): 1300,418831,I40604,Abigail /Gracian Hen/
1 JAN 700,ad_standard,71,700,,673004,I49828,Barra binte Samawal //
500,ad_standard,69,500,,49567,I9947,Prasenajit II of Kosala /Placeholder surname/
650,ad_standard,69,650,,476828,I43130,Zayd bin al-Hasan //
1140,medieval_late,67,1140,Post-1000 AD (should be trimmed): 1140,588386,I47335,Remón /Pérez de Figueroa/
1120,medieval_late,66,1120,Post-1000 AD (should be trimmed): 1120,413497,I40426,Judah ben Saul /Ibn Tibbon/
1080,medieval_late,65,1080,Post-1000 AD (should be trimmed): 1080,411041,I40369,Reina /bat Barzilai (bat Mar Shealtiel)/
1070,medieval_late,64,1070,Post-1000 AD (should be trimmed): 1070,408422,I40305,"Ṣāʿid al-Andalusī ""Hiyya al-Daudi"", Qaḍī of Cordoba & Toledo //"
1 JAN 100,ad_standard,63,100,,321181,I35452,Marcus Arrecinus Clemens //
1 JAN 900,ad_standard,63,900,,690317,I50837,Shayban ibn Ahmad ibn Tulun //
700,ad_standard,60,700,,479738,I43231,Ibrahim al-Ghamr //
750,ad_standard,60,750,,498426,I44181,'Abd al-Malik bin Salih bin Alī //
1145,medieval_late,60,1145,Post-1000 AD (should be trimmed): 1145,567977,I46662,//
1110,medieval_late,59,1110,Post-1000 AD (should be trimmed): 1110,581551,I47090,"D. Afonso Viegas, O Moço //"
1 JAN 500 B.C.,bc,55,-1,,979999,I65240,Alcetas //
980,ad_standard,55,980,,403168,I40152,David Avraham /ben Hazub/
1185,medieval_late,55,1185,Post-1000 AD (should be trimmed): 1185,415806,I40493,Saltell /Gracian Hen/
550,ad_standard,54,550,,204634,I31323,Aminah //
1020,medieval_late,54,1020,Post-1000 AD (should be trimmed): 1020,403336,I40157,Levi /ben Yapheth ben Semah/
1065,medieval_late,53,1065,Post-1000 AD (should be trimmed): 1065,31977,I8820,Maharaja Sunda XXI - Darmaraja (1042-1065) /Placeholder surname/
350,ad_standard,53,350,,42175,I9562,King of Bakulapura I - Atwangga (...-350) /Placeholder surname/
1075,medieval_late,53,1075,Post-1000 AD (should be trimmed): 1075,568558,I46691,Ximeno /Bernardo del Caso/
1220,medieval_late,52,1220,Post-1000 AD (should be trimmed): 1220,421081,I40699,Moshe /ben Hanok al-Constantini/
1 JAN 600 B.C.,bc,51,-1,,978191,I65132,Philip I of Macedon //
1010,medieval_late,51,1010,Post-1000 AD (should be trimmed): 1010,571308,I46784,/Dordia Osorez/
1175,medieval_late,50,1175,Post-1000 AD (should be trimmed): 1175,31214,I8752,Maharaja Sunda XXIV - Darmakusuma (1157-1175) /Placeholder surname/
1190,medieval_late,50,1190,Post-1000 AD (should be trimmed): 1190,413500,I40426,Judah ben Saul /Ibn Tibbon/
1015,medieval_late,50,1015,Post-1000 AD (should be trimmed): 1015,523840,I45682,אברהם בן יחיאל /לוריא/
450,ad_standard,49,450,,168976,I29807,Pompeius //
1230,medieval_late,49,1230,Post-1000 AD (should be trimmed): 1230,415786,I40492,רבנו בנבנישתי הלוי בן יוסף /הלוי/
1 JAN 800,ad_standard,49,800,,683903,I50499,Muhammad ibn Ismail //
1085,medieval_late,48,1085,Post-1000 AD (should be trimmed): 1085,413603,I40427,יעיש //
1240,medieval_late,47,1240,Post-1000 AD (should be trimmed): 1240,418758,I40600,"רבנו אהרון הלוי הרא""ה //"
1045,medieval_late,46,1045,Post-1000 AD (should be trimmed): 1045,407770,I40284,Qaid /ibn Hammad al-Ashir/
970,ad_standard,46,970,,544094,I46091,Ildaura /?/
1 JAN 600,ad_standard,46,600,,672327,I49789,Wahb ibn Abd Manaf //
990,ad_standard,45,990,,32421,I8856,Raja Kahuripan - Airlangga (1009-1042) /Placeholder surname/
1 JAN 500,ad_standard,45,500,,297599,I34530,Marcus //
1135,medieval_late,45,1135,Post-1000 AD (should be trimmed): 1135,441119,I41703,Reina Saltiel //
1155,medieval_late,44,1155,Post-1000 AD (should be trimmed): 1155,31682,I8794,Maharaja Sunda XXII - Langlangbumi (1065-1155) /Placeholder surname/
