Category,Date_Pattern,Occurrence_Count,Needs_Standardization
standard_ad,1150,328,NO
standard_ad,1050,276,NO
standard_ad,1100,214,NO
standard_ad,1200,207,NO
standard_ad,950,198,NO
standard_ad,1 JAN 1200,175,NO
standard_ad,1 JAN 1100,164,NO
standard_ad,1000,157,NO
standard_ad,900,136,NO
standard_ad,1250,135,NO
standard_ad,850,105,NO
standard_ad,1 JAN 1000,105,NO
standard_ad,1130,102,NO
standard_ad,1170,101,NO
standard_ad,50,98,NO
standard_ad,1030,88,NO
standard_ad,1001,82,NO
standard_ad,901,82,NO
standard_ad,100,81,NO
standard_ad,1060,81,NO
standard_ad,1160,81,NO
standard_ad,1040,80,NO
standard_ad,1180,79,NO
standard_ad,600,75,NO
standard_ad,1101,75,NO
standard_ad,400,74,NO
standard_ad,1090,74,NO
standard_ad,800,71,NO
standard_ad,1300,71,NO
standard_ad,1 JAN 700,71,NO
standard_ad,500,69,NO
standard_ad,650,69,NO
standard_ad,1140,67,NO
standard_ad,1120,66,NO
standard_ad,1080,65,NO
standard_ad,1070,64,NO
standard_ad,1 JAN 100,63,NO
standard_ad,1 JAN 900,63,NO
standard_ad,700,60,NO
standard_ad,750,60,NO
standard_ad,1145,60,NO
standard_ad,1110,59,NO
standard_ad,980,55,NO
standard_ad,1185,55,NO
standard_ad,550,54,NO
standard_ad,1020,54,NO
standard_ad,1065,53,NO
standard_ad,350,53,NO
standard_ad,1075,53,NO
standard_ad,1220,52,NO
standard_ad,1010,51,NO
standard_ad,1175,50,NO
standard_ad,1190,50,NO
standard_ad,1015,50,NO
standard_ad,450,49,NO
standard_ad,1230,49,NO
standard_ad,1 JAN 800,49,NO
standard_ad,1085,48,NO
standard_ad,1240,47,NO
standard_ad,1045,46,NO
standard_ad,970,46,NO
standard_ad,1 JAN 600,46,NO
standard_ad,990,45,NO
standard_ad,1 JAN 500,45,NO
standard_ad,1135,45,NO
standard_ad,1155,44,NO
standard_ad,1025,44,NO
standard_ad,1095,43,NO
standard_ad,250,42,NO
standard_ad,1115,42,NO
standard_ad,1005,42,NO
standard_ad,1035,41,NO
standard_ad,1210,40,NO
standard_ad,1105,39,NO
standard_ad,985,39,NO
standard_ad,1 JAN 1130,39,NO
standard_ad,150,38,NO
standard_ad,1055,37,NO
standard_ad,1195,37,NO
standard_ad,1 JAN 200,37,NO
standard_ad,920,36,NO
standard_ad,1125,36,NO
standard_ad,960,35,NO
standard_ad,1182,35,NO
standard_ad,1116,35,NO
standard_ad,1 JAN 1101,35,NO
standard_ad,1260,34,NO
standard_ad,1 JAN 501,34,NO
standard_ad,1205,33,NO
standard_ad,1270,32,NO
standard_ad,1154,31,NO
standard_ad,910,31,NO
standard_ad,1198,31,NO
standard_ad,1 JAN 601,31,NO
standard_ad,1199,31,NO
standard_ad,1 JAN 1300,31,NO
standard_ad,1017,30,NO
standard_ad,940,30,NO
standard_ad,1099,30,NO
standard_ad,925,30,NO
standard_ad,1165,30,NO
standard_ad,1 JAN 1060,30,NO
standard_ad,1215,29,NO
standard_ad,955,29,NO
standard_ad,1133,29,NO
standard_ad,1137,29,NO
standard_ad,1 JAN 1160,29,NO
standard_ad,1176,28,NO
standard_ad,1 JAN 801,28,NO
standard_ad,1 JAN 1050,28,NO
standard_ad,1 JAN 1150,28,NO
standard_ad,1 JAN 400,27,NO
standard_ad,995,27,NO
standard_ad,1103,27,NO
standard_ad,870,27,NO
standard_ad,1152,27,NO
standard_ad,1 JAN 1020,27,NO
standard_ad,999,27,NO
standard_ad,1192,27,NO
standard_ad,860,26,NO
standard_ad,1062,26,NO
standard_ad,1096,26,NO
standard_ad,1102,26,NO
standard_ad,1290,26,NO
standard_ad,1118,26,NO
standard_ad,200,25,NO
standard_ad,965,25,NO
standard_ad,890,25,NO
standard_ad,1 JAN 970,25,NO
standard_ad,1 JAN 1201,25,NO
standard_ad,1016,24,NO
standard_ad,1225,24,NO
standard_ad,1034,24,NO
standard_ad,680,24,NO
standard_ad,1201,24,NO
standard_ad,1068,24,NO
standard_ad,945,24,NO
standard_ad,1148,24,NO
standard_ad,1129,24,NO
standard_ad,1 JAN 701,24,NO
standard_ad,12 OCT 680,23,NO
standard_ad,1028,23,NO
standard_ad,915,23,NO
standard_ad,1088,23,NO
standard_ad,1172,23,NO
standard_ad,1087,23,NO
standard_ad,1093,23,NO
standard_ad,1173,23,NO
standard_ad,1144,23,NO
standard_ad,1132,23,NO
standard_ad,624,22,NO
standard_ad,1136,22,NO
standard_ad,1245,22,NO
standard_ad,1147,22,NO
standard_ad,300,22,NO
