Date_Value,Category,Count,Year,Issues,Sample_Line,Sample_Individual,Sample_Name
7 AUG 2025,future,102491,2025,Future date: 2025,45,I1,Aster /Alpha/
1150,medieval_late,328,1150,Post-1000 AD (should be trimmed): 1150,568681,I36172,D.Soeiro Ausendes //
1050,medieval_late,276,1050,Post-1000 AD (should be trimmed): 1050,647596,I40348,Hiyya HaNasi //
1100,medieval_late,214,1100,Post-1000 AD (should be trimmed): 1100,52789,I9576,SUPRATĪKA /Placeholder surname/
1200,medieval_late,207,1200,Post-1000 AD (should be trimmed): 1200,73502,I11202,Sahdev /DIWAKAR/
950,ad_standard,198,950,,925523,I45990,Hugo /Soares Belfaguer/
1 JAN 1200,medieval_late,175,1200,Post-1000 AD (should be trimmed): 1200,1523404,I52972,"Centule VI, Viscount of Béarn //"
1 JAN 1100,medieval_late,164,1100,Post-1000 AD (should be trimmed): 1100,1429161,I51968,Gómez González //
1000,ad_standard,157,1000,,953260,I46237,Elvira /Rodríguez/
900,ad_standard,136,900,,950253,I46196,Sarracina //
1250,medieval_late,135,1250,Post-1000 AD (should be trimmed): 1250,659944,I40538,Todros ben Daniel /Annyas/
200 B.C.,bc,113,-200,,525868,I35627,Pinarius //
1 JAN 100 B.C.,bc,107,-1,,336632,I33643,Hiempsal II //
100 B.C.,bc,107,-100,,2601163,I66583,Laodice of Cappadocia //
1 JAN 200 B.C.,bc,106,-1,,336609,I33643,Hiempsal II //
850,ad_standard,105,850,,893992,I45675,Hasadiah (Hasdai) /ben Hananel I/
1 JAN 1000,ad_standard,105,1000,,1369730,I51324,Aboazar Lovesendes //
1130,medieval_late,102,1130,Post-1000 AD (should be trimmed): 1130,1000656,I46754,"Sancho Nuñes de Celanova, Señor de Barbosa //"
50 B.C.,bc,101,-50,,518827,I35530,Titus Flavius Petro //
1170,medieval_late,101,1170,Post-1000 AD (should be trimmed): 1170,651985,I40410,"Makir ben Sheshet Perfet, /(Baillif)/"
50,malformed,98,,Unparseable date format,270658,I31463,Gnaeus Pedanius Fuscus /Salinator/
1 JAN 300 B.C.,bc,93,-1,,555355,I35918,Publius Cornelius Sulla //
1 JAN 400 B.C.,bc,89,-1,,561927,I36001,Lagus //
1030,medieval_late,88,1030,Post-1000 AD (should be trimmed): 1030,40769,I8867,Maharaja Sriwijaya XV - Sangrama-Vijayottunggawarman (1017-1030) /Placeholder surname/
1001,medieval_late,82,1001,Post-1000 AD (should be trimmed): 1001,639467,I40211,"Hizkiya ""Zuṭṭa"" /ben Yehudah/"
901,ad_standard,82,901,,1010951,I46881,"Ava, comtessa consort de Cerdanya //"
300 B.C.,bc,81,-300,,559430,I35965,Andromachus //
