# Japanese GEDCOM ID to Wikibase QID Mapping
# Generated by japanese_repair_upload.py

# Properties
birth_date	P7
child	P20
death_date	P8
full_name	P5
gedcom_refn	P41
given_name	P3
sex	P11
spouse	P42
surname	P4

# Individuals
@I10000@	Q16547
@I10004@	Q16551
@I10006@	Q16553
@I10009@	Q16556
@I10010@	Q16557
@I10011@	Q16558
@I10012@	Q16559
@I10015@	Q16562
@I10016@	Q16563
@I10020@	Q16567
@I10021@	Q16568
@I10022@	Q16569
@I10024@	Q16571
@I10027@	Q16574
@I10032@	Q16579
@I10033@	Q16580
@I10034@	Q16581
@I10038@	Q16585
@I10039@	Q16586
@I10040@	Q16587
@I10041@	Q16588
@I10045@	Q16592
@I10046@	Q16593
@I10047@	Q16594
@I10050@	Q16597
@I10051@	Q16598
@I10055@	Q16602
@I10058@	Q16605
@I10063@	Q16610
@I10064@	Q16611
@I10067@	Q16614
@I10068@	Q16615
@I10069@	Q16616
@I10070@	Q16617
@I10071@	Q16618
@I10072@	Q16619
@I10074@	Q16621
@I10076@	Q16623
@I10078@	Q16625
@I10083@	Q16630
@I10096@	Q16643
@I10097@	Q16644
@I100@	Q6628
@I10100@	Q16647
@I10103@	Q16650
@I10106@	Q16653
@I10108@	Q16655
@I10109@	Q16656
@I10110@	Q16657
@I10121@	Q16668
@I10125@	Q16672
@I10134@	Q16681
@I10140@	Q16687
@I10141@	Q16688
@I10147@	Q16694
@I10149@	Q16696
@I10153@	Q16700
@I10154@	Q16701
@I10155@	Q16702
@I10156@	Q16703
@I10157@	Q16704
@I10158@	Q16705
@I1015@	Q7563
@I10160@	Q16707
@I10161@	Q16708
@I10164@	Q16711
@I10165@	Q16712
@I10166@	Q16713
@I10167@	Q16714
@I10168@	Q16715
@I10169@	Q16716
@I10170@	Q16717
@I10171@	Q16718
@I10173@	Q16720
@I10182@	Q16729
@I10186@	Q16733
@I10187@	Q16734
@I10188@	Q16735
@I10189@	Q16736
@I10190@	Q16737
@I10192@	Q16739
@I10194@	Q16741
@I10197@	Q16744
@I10198@	Q16745
@I1019@	Q7567
@I101@	Q6630
@I10202@	Q16749
@I10203@	Q16750
@I10206@	Q16753
@I10208@	Q16755
@I10211@	Q16758
@I10214@	Q16761
@I10215@	Q16762
@I10218@	Q16765
@I10219@	Q16766
@I10221@	Q16768
@I10222@	Q16769
@I10223@	Q16770
@I10224@	Q16771
@I10229@	Q16776
@I10231@	Q16778
@I10232@	Q16779
@I10233@	Q16780
@I10235@	Q16782
@I1023@	Q7571
@I10242@	Q16789
@I10243@	Q16790
@I10247@	Q16794
@I1024@	Q7572
@I10251@	Q16798
@I10252@	Q16799
@I10253@	Q16800
@I10254@	Q16801
@I10259@	Q16806
@I1025@	Q7573
@I10260@	Q16807
@I10261@	Q16808
@I10265@	Q16812
@I10266@	Q16813
@I10268@	Q16815
@I10269@	Q16816
@I1026@	Q7574
@I10270@	Q16817
@I10271@	Q16818
@I10275@	Q16822
@I10276@	Q16823
@I10278@	Q16825
@I10279@	Q16826
@I1027@	Q7575
@I10282@	Q16829
@I10283@	Q16830
@I10284@	Q16831
@I10285@	Q16832
@I10286@	Q16833
@I10287@	Q16834
@I10288@	Q16835
@I10289@	Q16836
@I10290@	Q16837
@I10291@	Q16838
@I10292@	Q16839
@I10293@	Q16840
@I10294@	Q16841
@I10295@	Q16842
@I10296@	Q16843
@I10297@	Q16844
@I102@	Q6632
@I10309@	Q16856
@I10311@	Q16858
@I10312@	Q16859
@I10313@	Q16860
@I10314@	Q16861
@I10315@	Q16862
@I10317@	Q16864
@I10319@	Q16866
@I10320@	Q16867
@I10322@	Q16869
@I10323@	Q16870
@I10325@	Q16872
@I10326@	Q16873
@I10327@	Q16874
@I10328@	Q16875
@I10329@	Q16876
@I10330@	Q16877
@I10331@	Q16878
@I10332@	Q16879
@I10333@	Q16880
@I10334@	Q16881
@I10335@	Q16882
@I10336@	Q16883
@I10338@	Q16885
@I10345@	Q16892
@I10346@	Q16893
@I10347@	Q16894
@I10348@	Q16895
@I10349@	Q16896
@I10350@	Q16897
@I10352@	Q16899
@I10353@	Q16900
@I10355@	Q16902
@I10358@	Q16905
@I10359@	Q16906
@I10360@	Q16907
@I10365@	Q16912
@I10366@	Q16913
@I10367@	Q16914
@I10368@	Q16915
@I10369@	Q16916
@I1036@	Q7584
@I10370@	Q16917
@I10371@	Q16918
@I10373@	Q16920
@I10374@	Q16921
@I10375@	Q16922
@I10379@	Q16926
@I1037@	Q7585
@I10381@	Q16928
@I10382@	Q16929
@I10383@	Q16930
@I10385@	Q16932
@I10386@	Q16933
@I10387@	Q16934
@I10388@	Q16935
@I10399@	Q16946
@I1039@	Q7587
@I10400@	Q16947
@I10401@	Q16948
@I10402@	Q16949
@I10403@	Q16950
@I10404@	Q16951
@I10409@	Q16956
@I10410@	Q16957
@I10412@	Q16959
@I10420@	Q16967
@I10423@	Q16970
@I10427@	Q16974
@I10428@	Q16975
@I10429@	Q16976
@I10431@	Q16978
@I10436@	Q16983
@I10439@	Q16986
@I10440@	Q16987
@I10442@	Q16989
@I10443@	Q16990
@I10444@	Q16991
@I10446@	Q16993
@I10447@	Q16994
@I1044@	Q7592
@I10451@	Q16998
@I10453@	Q17000
@I10454@	Q17001
@I10456@	Q17003
@I10457@	Q17004
@I10458@	Q17005
@I10459@	Q17006
@I1045@	Q7593
@I10460@	Q17007
@I10462@	Q17009
@I10463@	Q17010
@I10464@	Q17011
@I10468@	Q17015
@I10469@	Q17016
@I1046@	Q7594
@I10470@	Q17017
@I10471@	Q17018
@I10472@	Q17019
@I10473@	Q17020
@I10474@	Q17021
@I10475@	Q17022
@I10477@	Q17024
@I10478@	Q17025
@I10479@	Q17026
@I1047@	Q7595
@I10480@	Q17027
@I10481@	Q17028
@I10483@	Q17030
@I10487@	Q17034
@I10490@	Q17037
@I10491@	Q17038
@I10493@	Q17040
@I10495@	Q17042
@I10496@	Q17043
@I10497@	Q17044
@I10501@	Q17048
@I10505@	Q17052
@I10508@	Q17055
@I1050@	Q7598
@I10513@	Q17060
@I10514@	Q17061
@I10515@	Q17062
@I1051@	Q7599
@I10524@	Q17071
@I10525@	Q17072
@I1052@	Q7600
@I10530@	Q17077
@I10531@	Q17078
@I10532@	Q17079
@I10534@	Q17081
@I10537@	Q17084
@I1053@	Q7601
@I10540@	Q17087
@I10541@	Q17088
@I10542@	Q17089
@I10543@	Q17090
@I10544@	Q17091
@I10546@	Q17093
@I10548@	Q17095
@I10550@	Q17097
@I10551@	Q17098
@I10552@	Q17099
@I10553@	Q17100
@I10555@	Q17102
@I10556@	Q17103
@I10557@	Q17104
@I10558@	Q17105
@I10559@	Q17106
@I10560@	Q17107
@I10561@	Q17108
@I10565@	Q17112
@I10567@	Q17114
@I1056@	Q7604
@I10570@	Q17117
@I10571@	Q17118
@I10573@	Q17120
@I10576@	Q17123
@I10577@	Q17124
@I10578@	Q17125
@I10579@	Q17126
@I10580@	Q17127
@I10585@	Q17132
@I10586@	Q17133
@I10590@	Q17137
@I10591@	Q17138
@I10593@	Q17140
@I10594@	Q17141
@I10595@	Q17142
@I10596@	Q17143
@I10597@	Q17144
@I10599@	Q17146
@I1059@	Q7607
@I105@	Q6638
@I10600@	Q17147
@I10601@	Q17148
@I10603@	Q17150
@I10605@	Q17152
@I10606@	Q17153
@I10607@	Q17154
@I10611@	Q17158
@I10613@	Q17160
@I10614@	Q17161
@I10617@	Q17164
@I10621@	Q17168
@I10622@	Q17169
@I10627@	Q17174
@I10628@	Q17175
@I10629@	Q17176
@I10634@	Q17181
@I10635@	Q17182
@I10636@	Q17183
@I10637@	Q17184
@I10638@	Q17185
@I10639@	Q17186
@I1063@	Q7611
@I10640@	Q17187
@I10641@	Q17188
@I10642@	Q17189
@I10645@	Q17192
@I10646@	Q17193
@I10647@	Q17194
@I10648@	Q17195
@I10649@	Q17196
@I1064@	Q7612
@I10650@	Q17197
@I10653@	Q17200
@I10654@	Q17201
@I10655@	Q17202
@I10656@	Q17203
@I10657@	Q17204
@I1065@	Q7613
@I10660@	Q17207
@I10662@	Q17209
@I10663@	Q17210
@I10665@	Q17212
@I10667@	Q17214
@I10669@	Q17216
