id,label_en
Q56001,Cui Junγ
Q70208,Δρουσìλλη
Q72541,η Ισίας Φιλόστοργος
Q72720,Λαοδίκη ἡ Θεά καὶ Φιλάδελφος
Q72723,Μιθριδάτης
Q72726,η Άθηναἷς Φιλόστοργος Α'
Q72729,Ἀριοβαρζάνης
Q72891,"Αντίοχος ""Γρυπός""  ."
Q72894,Σάμος Θεοσεβής Δίκαιος
Q73041,Δημήτριος
Q73044,Κλεοπάτρα Θεά
Q73053,Μιθραδάτης
Q73197,Πτολεμαίος
Q73206,Δημήτριος
Q73215,Μιθριδάτης
Q73218,Λαοδίκη
Q73353,Ἀρσινόη ἡ Φιλοπάτωρ
Q73356,Πτολεμαίος
Q73359,Λαοδικη
Q73362,Ἀντίoχoς
Q73365,Σέλευκος
Q73368,Λαοδίκη
Q73374,Φαρνάκης
Q73380,Αντίοχος
Q73491,Πτολεμαῖο
Q73497,Mιθριδάτης
Q73500,Λαοδικη
Q73503,Λαοδίκη
Q73506,Σέλευκος
Q73512,Mιθριδάτης
Q73515,Λαοδικη
Q73614,Πτολεμαῖος
Q73617,Μάγας
Q73620,Ἀπάμα
Q73623,Ἀριoβαρζάνης
Q73629,Λαοδίκη
Q73632,Ἀντίοχος
Q73722,Λυσίμαχος
Q73728,Βερενίκη
Q73731,Πτολεμαῖος
Q73737,Αντίοχος
Q73740,Στρατoνίκη
Q73743,Mιθριδάτης
Q73746,Ἀχαιός
Q73824,Ἀγαθοκλῆς
Q73830,Αντίπατρος
Q73833,Mάγας
Q73836,Ἀντιγόνη
Q73839,Ἀρσινόη
Q73842,Λάγος
Q73851,Ἀπάμα
Q73854,Σέλευκος
Q73857,Δημήτριος
Q73860,Φίλα
Q73931,Κάσσανδρος
Q73934,Σπιταμένης
Q73940,Λαοδίκη
Q74000,Φιλιππoς;
Q74061,Ὑδάρνης
Q74120,Δέρδας
Q74123,Ὑδάρνης
Q74129,Ἀρταξέρξης
Q74189,Ὑδάρνης
Q74228,Περδίκκας
Q74282,Ἀλέξανδρος
Q74296,Ὑστάσπης
Q74344,Αμύντας
Q74356,Ἀρσάμης
Q74389,Ἀλκέτας
Q74434,Ἀέροπος
Q74578,Περδίκκας
Q74620,Τυρίμμας
Q74641,Δάσκυλος
Q74662,Κοῖνος
Q74683,Κάρανος
Q74771,Τέμενος
Q74780,Ἀριστόμαχος
Q74970,Tethys  Τηθύς
Q75084,Αἴολος
Q75150,Πύρρα
Q75153,Δευκαλίων
Q75321,Πλειόνη
Q77413,Γαίος Ιούλιος Αλέξανδρος
Q77641,Γάιος Ἰούλιος Ἀντίοχος
Q77845,Ἀμύντας
Q78402,Κλεοπάτρα
Q78468,Εὐμένης
Q78531,Κλεοπάτρα
Q78582,Ἄτταλος
Q78588,Ἀριαράθης
Q78609,Κλεοπάτρα
Q78612,Πτολεμαῖος Νέος Διόνυσος Θεός Φιλοπάτωρ Θεός Φιλάδελφος
Q78698,Ἀριαράθης
Q78713,Πτολεμαῖος
Q78719,Κλεοπάτρα
Q78773,Ἀριάμνης
Q78830,Ἀριαράθης
Q85741,Δρουσìλλη
Q87297,η Ισίας Φιλόστοργος Princess of Cappadocia
Q87417,Λαοδίκη ἡ Θεά καὶ Φιλάδελφος
Q87419,Μιθριδάτης
Q87421,η Άθηναἷς Φιλόστοργος Α' of Pontus
Q87423,Ἀριοβαρζάνης de Cappadoce
Q87532,"Αντίοχος ""Γρυπός""  . Η' Φιλομήτωρ της Συρ&..."
Q87534,Σάμος Θεοσεβής Δίκαιος
Q87632,Δημήτριος
Q87634,Κλεοπάτρα Θεά
Q87640,Μιθραδάτης
Q87736,Πτολεμαίος
Q87742,Δημήτριος
Q87748,Μιθριδάτης
Q87750,Λαοδίκη
Q87841,Ἀρσινόη ἡ Φιλοπάτωρ
Q87843,Πτολεμαίος
Q87845,Λαοδικη
Q87847,Ἀντίoχoς
Q87849,Σέλευκος
Q87851,Λαοδίκη
Q87855,Φαρνάκης
Q87859,Αντίοχος
Q87933,Πτολεμαῖο
Q87937,Mιθριδάτης
Q87939,"Λαοδικη Princess of Syria, Queen of Pontus"
Q87941,Λαοδίκη
Q87943,Σέλευκος
Q87947,Mιθριδάτης
Q87949,Λαοδικη
Q88015,Πτολεμαῖος
Q88017,Μάγας
Q88019,Ἀπάμα
Q88021,Ἀριoβαρζάνης
Q88025,Λαοδίκη
Q88027,Ἀντίοχος
Q88087,Λυσίμαχος
Q88091,Βερενίκη
Q88093,Πτολεμαῖος
Q88097,Αντίοχος
Q88099,Στρατoνίκη
Q88101,Mιθριδάτης
Q88103,Ἀχαιός
Q88155,Ἀγαθοκλῆς
Q88159,Αντίπατρος
Q88161,Mάγας
Q88163,Ἀντιγόνη
Q88165,Ἀρσινόη I
Q88167,Λάγος
Q88173,Ἀπάμα
Q88175,Σέλευκος
Q88177,Δημήτριος
Q88179,Φίλα
Q88227,Κάσσανδρος
Q88229,Σπιταμένης
Q88233,Λαοδίκη
Q88273,Φιλιππoς; Satrap of India
Q88313,Ὑδάρνης
Q88353,Δέρδας
Q88355,Ὑδάρνης II
