id,label_en,translation
Q373,Chlorovos bar Chloros,Chlorovos son of Chloros
Q374,Pyramona bar Chloros,Pyramona son of Chloros
Q375,Utico bar Chloros,Utico son of Chloros
Q376,Chlorodendrus bar Chloros,Chlorodendrus son of Chloros
Q377,Palmos bar Chloros,Palmos son of Chloros
Q381,Valonius bar Chloros,Valonius son of Chloros
Q382,Acetabuler bar Chloros,Acetabuler son of Chloros
Q383,Codius bar Chloros,Codius son of Chloros
Q384,Lettus bar Chloros,Lettus son of Chloros
Q385,Cladofer bar Chloros,Cladofer son of Chloros
Q386,Torasampe bar Chloros,Torasampe son of Chloros
Q387,Noriko bar Chloros,Noriko son of Chloros
Q388,Prasiola bar Chloros,Prasiola son of Chloros
Q389,Volvox I bar Chloros,Volvox I son of Chloros
Q390,Nival bar Chloros,Nival son of Chloros
Q391,Chlorococcus bar Chloros,Chlorococcus son of Chloros
Q392,Oophila bar Chloros,Oophila son of Chloros
Q393,Tetraselma bar Chloros,Tetraselma son of Chloros
Q1682,[55] Indudewi bint Wijayarajasa,[55] Indudewi daughter of Wijayarajasa
Q1708,[50] Ratna Wisesa bint Rakryan Jayagiri,[50] Ratna Wisesa daughter of Rakryan Jayagiri
Q1714,[49] NN (Ket. ke-5 Sangrama-Vijayottunggawarman) bint NN (Ket. ke-4 Sangrama-Vijayottunggawarman,[49] NN (Ket. ke-5 Sangrama-Vijayottunggawarman) daughter of NN (Ket. ke-4 Sangrama-Vijayottunggawarman
Q1715,Jayagiri bin Langlangbumi,Jayagiri son of Langlangbumi
Q1716,[49] Darmawisaya bin Sudakarmawisesa,[49] Darmawisaya son of Sudakarmawisesa
Q1720,[49] Sri Kameswara bin Sri Jayawarsa,[49] Sri Kameswara son of Sri Jayawarsa
Q1721,[49] Sri Kirana bint Fulan,[49] Sri Kirana daughter of Fulan
Q1722,NN (Cicit Sangrama-Vijayottunggawarman) bin NN (Cicit Sangrama-Vijayottunggawarman),NN (Cicit Sangrama-Vijayottunggawarman) son of NN (Cicit Sangrama-Vijayottunggawarman)
Q1723,Langlangbumi bin Darmaraja,Langlangbumi son of Darmaraja
