id,label_en,translation
Q52294,Chēng 称(稱),Chēng 称
Q52394,Lǎo Tóng 老童(或称卷章),Lǎo Tóng 老童
Q52434,Zhao Ming  (林氏前姓黄帝后代第6世),Zhao Ming
Q52438,Dan Zhu (丹朱) 丹朱,Dan Zhu 丹朱
Q52506,Xiang Tu  (林氏前姓黄帝后代第7世),Xiang Tu
Q52566,Chang Ruo  (林氏前姓黄帝后代第8世),Chang Ruo
Q52614,Cao Yu  (林氏前姓黄帝后代第9世),Cao Yu
Q52666,Ming  (林氏前姓黄帝后代第10世),Ming
Q52750,Wang Hai  (林氏前姓黄帝后代第11世),Wang Hai
Q52794,Jia Wei  (林氏前姓黄帝后代第12世),Jia Wei
Q52849,Bao Yi  (林氏前姓黄帝后代第13世),Bao Yi
Q52903,Bao Bing  (林氏前姓黄帝后代第14世),Bao Bing
Q52928,Bao Ding  (林氏前姓黄帝后代第15世),Bao Ding
Q53000,Zhu Ren  (林氏前姓黄帝后代第16世),Zhu Ren
Q54197,Bi Gan (比干)  子姓,Bi Gan 子姓
Q54306,King Zhou (受德 紂)  of Shang (子姓),King Zhou of Shang
Q54710,Zhongyong (仲雍)  of Wu (姬),Zhongyong of Wu
Q56740,"躍  Chén Lì Gōng Yuè, 陳厲公躍, 52,44,11G: 14th Ruler of Tan State (Guī Yuè 嬀躍)","躍 Chén Lì Gōng Yuè, 陳厲公躍, 52,44,11G: 14th Ruler of Tan State"
Q58518,"Progenitor of Fú (符) Gōng Yǎ, 公雅 (姬慶), 1世  姬","Progenitor of Fú Gōng Yǎ, 公雅, 1世 姬"
Q59034,历(厉)公 Lì (Lì) Gōng  LÀI 赖,历公 Lì (Lì) Gōng LÀI 赖
Q61655,He (陳何)  CHEN,He CHEN
Q69889,King Song(松)  King of Gija Joseon,King Song King of Gija Joseon
Q69892,King Sun (詢)  King of Gija Joseon,King Sun King of Gija Joseon
Q69895,King Gija (箕子)  King of Gija Joseon,King Gija King of Gija Joseon
Q69898,King Bak (伯)  King of Gija Joseon,King Bak King of Gija Joseon
Q69901,King Ch'un (椿)  King of Gija Joseon,King Ch'un King of Gija Joseon
Q69904,King Ye (禮)  King of Gija Joseon,King Ye King of Gija Joseon
Q69910,King Jang (莊)  King of Gija Joseon,King Jang King of Gija Joseon
Q69913,King Ch'ak (捉)  King of Gija Joseon,King Ch'ak King of Gija Joseon
Q69916,King Jo (調)  King of Gija Joseon,King Jo King of Gija Joseon
Q69919,King Sak (索)  King of Gija Joseon,King Sak King of Gija Joseon
Q69922,King Sa (師)  King of Gija Joseon,King Sa King of Gija Joseon
Q69925,King Yum (炎)  King of Gija Joseon,King Yum King of Gija Joseon
Q69928,King Wul (越)  King of Gija Joseon,King Wul King of Gija Joseon
Q69931,King Jik (職)  King of Gija Joseon,King Jik King of Gija Joseon
Q69934,King U (優)  King of Gija Joseon,King U King of Gija Joseon
Q69937,King Mok (睦)  King of Gija Joseon,King Mok King of Gija Joseon
Q69943,King P'yung (平)  King of Gija Joseon,King P'yung King of Gija Joseon
Q69946,King Gwul (闕)  King of Gija Joseon,King Gwul King of Gija Joseon
Q69949,King Hwe (懷)  King of Gija Joseon,King Hwe King of Gija Joseon
Q69952,King Jon (存)  King of Gija Joseon,King Jon King of Gija Joseon
Q69954,King Hyo (孝)  King of Gija Joseon,King Hyo King of Gija Joseon
Q69957,King Yang (襄)  King of Gija Joseon,King Yang King of Gija Joseon
Q69960,King Ha (遐)  King of Gija Joseon,King Ha King of Gija Joseon
Q69963,King Ch'am (參)  King of Gija Joseon,King Ch'am King of Gija Joseon
Q69966,King Geun (勤)  King of Gija Joseon,King Geun King of Gija Joseon
