id,label_en,translation
Q51954,有熊 (Yǒu Xióng),Yǒu Xióng
Q51958,少典 (Shǎo Diǎn),Shǎo Diǎn
Q51966,軒轅 (Xuān Yuán)  有熊 (Yǒu Xióng),Xuān Yuán
Q51970,炎帝 (Yán Dì),Yán Dì
Q51978,少昊 (Shǎo Hào),Shǎo Hào
Q51986,顓頊 (Zhuān Xū)  Zhuanxu,Zhuān Xū
Q51994,女修 (Nǚ Xiū),Nǚ Xiū
Q52002,大業 (Dà Yè),Dà Yè
Q52006,后稷 (Hòu Jì),Hòu Jì
Q52010,帝摯 (Dì Zhì),Dì Zhì
Q52018,契 (Qì),Qì
Q52030,不窋 (Bù Zhú),Bù Zhú
Q52034,丹朱 (Dān Zhū),Dān Zhū
Q52046,昭明 (Zhāo Míng),Zhāo Míng
Q52058,姬鞠 (Jī Jū),Jī Jū
Q52062,相土 (Xiāng Tǔ),Xiāng Tǔ
Q52082,公劉 (Gōng Liú),Gōng Liú
Q52086,昌若 (Chāng Ruò),Chāng Ruò
Q52106,天文 (Tiān Wén),Tiān Wén
Q52110,慶節 (Qìng Jié),Qìng Jié
Q52114,曹圉 (Cáo Yǔ),Cáo Yǔ
Q52138,丁人 (Dīng Rén),Dīng Rén
Q52157,正田 (Zhèng Tián),Zhèng Tián
Q52222,來發 (Lái Fā),Lái Fā
Q52262,亞儉 (Yà Jiǎn),Yà Jiǎn
Q52374,進國 (Jìn Guó),Jìn Guó
Q52430,任養 (Rèn Yǎng),Rèn Yǎng
Q52502,龍雲 (Lóng Yún),Lóng Yún
Q52562,只得 (Zhǐ Dé),Zhǐ Dé
Q52610,三多 (Sān Duō),Sān Duō
Q52662,古未 (Gǔ Wèi),Gǔ Wèi
Q52746,齊伯 (Qí Bó),Qí Bó
Q52790,華正 (Huá Zhèng),Huá Zhèng
Q52845,二中 (Èr Zhōng),Èr Zhōng
Q52902,勝男 (Shèng Nán),Shèng Nán
Q52924,家慶 (Jiā Qìng),Jiā Qìng
Q52992,守信 (Shǒu Xìn),Shǒu Xìn
Q52996,守義 (Shǒu Yì),Shǒu Yì
Q53048,高金 (Gāo Jīn),Gāo Jīn
Q53052,登榮 (Dēng Róng),Dēng Róng
Q53116,花三 (Huā Sān),Huā Sān
Q53120,木秀 (Mù Xiù),Mù Xiù
Q53176,羅生 (Luó Shēng),Luó Shēng
Q53180,發貴 (Fā Guì),Fā Guì
Q53184,爲文 (Wèi Wén),Wèi Wén
Q53188,傳東 (Chuán Dōng),Chuán Dōng
Q53196,廣田 (Guǎng Tián),Guǎng Tián
Q53260,心爲 (Xīn Wèi),Xīn Wèi
Q53264,康有 (Kāng Yǒu),Kāng Yǒu
Q53328,多分 (Duō Fēn),Duō Fēn
Q53332,多有 (Duō Yǒu),Duō Yǒu
Q53396,子文 (Zi Wén),Zi Wén
Q53404,子土 (Zi Tǔ),Zi Tǔ
Q53468,亞假 (Yà Jiǎ),Yà Jiǎ
Q53471,亞今 (Yà Jīn),Yà Jīn
Q53539,福任 (Fú Rèn),Fú Rèn
Q53543,亍寵 (Chù Chǒng),Chù Chǒng
Q53547,保華 (Bǎo Huá),Bǎo Huá
Q53594,Yú (Xī) 餘(希)  Zhāng 張,Xī
Q53602,仁才 (Rén Cái),Rén Cái
Q53610,仁發 (Rén Fā),Rén Fā
Q53658,Zuān (Suì) 躦(燧)  Zhāng 張,Suì
Q53666,有國 (Yǒu Guó),Yǒu Guó
Q53678,進林 (Jìn Lín),Jìn Lín
Q53682,福山 (Fú Shān),Fú Shān
Q53734,余慶 (Yú Qìng),Yú Qìng
Q53746,金郁 (Jīn Yù),Jīn Yù
Q53750,穗明 (Suì Míng),Suì Míng
Q53809,仕幸 (Shì Xìng),Shì Xìng
Q53817,仕水 (Shì Shuǐ),Shì Shuǐ
Q53821,仕章 (Shì Zhāng),Shì Zhāng
Q53865,宏權 (Hóng Quán),Hóng Quán
Q53921,榮華 (Róng Huá),Róng Huá
Q53925,光保 (Guāng Bǎo),Guāng Bǎo
Q53993,亞連 (Yà Lián),Yà Lián
Q53997,春慶 (Chūn Qìng),Chūn Qìng
Q54001,木養 (Mù Yǎng),Mù Yǎng
Q54081,振興 (Zhèn Xīng),Zhèn Xīng
Q54097,振林 (Zhèn Lín),Zhèn Lín
Q54173,天榮 (Tiān Róng),Tiān Róng
Q54177,西保 (Xī Bǎo),Xī Bǎo
Q54181,日養 (Rì Yǎng),Rì Yǎng
Q54185,亞春 (Yà Chūn),Yà Chūn
Q54286,譚國 (Tán Guó),Tán Guó
Q54290,華正 (Huá Zhèng),Huá Zhèng
Q54294,木仁 (Mù Rén),Mù Rén
Q54437,來貴 (Lái Guì),Lái Guì
Q54510,有發 (Yǒu Fā),Yǒu Fā
Q54514,有能 (Yǒu Néng),Yǒu Néng
Q54522,有德 (Yǒu Dé)  姬,Yǒu Dé
Q54586,四達 (Sì Dá),Sì Dá
Q54590,四丙 (Sì Bǐng),Sì Bǐng
Q54594,四餘 (Sì Yú)  姬,Sì Yú
Q54678,季生 (Jì Shēng)  姬,Jì Shēng
Q54754,平東 (Píng Dōng),Píng Dōng
Q54758,平西 (Píng Xī),Píng Xī
Q54762,平北 (Píng Běi),Píng Běi
Q54866,員安 (Yuán ān),Yuán ān
Q54870,員有 (Yuán Yǒu),Yuán Yǒu
Q54874,員餘 (Yuán Yú)  姬,Yuán Yú
Q55030,Tong (Gu) Gong 同(固)公  Lǐ 李,Gu
Q55038,日華 (Rì Huá),Rì Huá
Q55042,日興 (Rì Xìng),Rì Xìng
Q55201,月機 (Yuè Jī),Yuè Jī
Q55205,月觀 (Yuè Guān),Yuè Guān
Q55213,月可 (Yuè Kě)  姬,Yuè Kě
