id,translation,label_en
Q13459, Daughter of Karita Tokitsugu (wife of the Ashikaga head family), Yi Tian Shi Ji Noniang (zu Li Zong Jia Nozheng Shi)
Q13461, Daughter of Hojo Nagatoki (wife of Utsunomiya Sadatsuna), Bei Tiao Chang Shi Noniang (yu Du Gong Zhen Gang Noqi)
Q13463, Daughter of Hojo Tokishige (wife of Hojo Munenobu), Bei Tiao Shi Mao Noniang (bei Tiao Zong Xuan Nozheng Shi)
Q13464, Daughter of Hojo Tokishige (wife of Ashikaga Ietoki), Bei Tiao Shi Mao Noniang (zu Li Jia Shi Nozheng Shi )
Q13465, Daughter of Ashikaga Yasuuji (wife of Fuenji Gyoji), Zu Li Tai Shi Noniang (pu En Si Ye Shi Noqi )
Q13470, Daughter of Hojo Sanetoki (wife of Nagai Munehide), Bei Tiao Shi Shi Noniang (chang Jing Zong Xiu Noqi )
Q13474, Daughter of Sasaki Nobutsuna (wife of Izumi no Kami Fujiwara no Yukikata), Zuo mu Xin Gang Noniang (he Quan Shou Teng Yuan Xing Fang Noshi )
Q13475, Daughter of Sasaki Nobutsuna (wife of Nagai Yasuhide), Zuo mu Xin Gang Noniang (chang Jing Tai Xiu Noqi )
Q13477, Daughter of Ashikaga Yasuuji (wife of Sasaki Yasutsuna), Zu Li Shi ? (zuo mu Tai Gang Noqi )
Q13481, daughter of Nojiri Tokimitsu (wife of Sasaki Ujinobu), Ye Kao Shi Guang Noniang (zuo mu Shi Xin Noqi )
Q13484, daughter of Sasaki Ujinobu (concubine of Kira Mitsuuji), Zuo mu Shi Xin Noniang (ji Liang Man Shi Noce Shi )
Q13494, daughter of Kazanin Takaji Nagamasa (wife of Kazanin Iesada), Hua Shan Yuan Ying Si Chang Ya Noniang (hua Shan Yuan Jia Ding Noshi )
Q13507, daughter of Nijō Morotada (wife of Minamoto Hikohito), Er Tiao Shi Zhong Noniang (yuan Yan Ren Noshi )
Q13508, daughter of Heisei Shun (wife of Ichijō Saneyuki), Ping Cheng Jun Noniang (yi Tiao Shi Jing Noshi )
Q13517, daughter of Saionji Kinki (wife of Kinugasa Tsunehira), Xi Yuan Si Gong Ji Noniang (yi Li Jing Ping Noshi)
Q13518, daughter of Kazanin Morotsugu (wife of Saionji Sanekane), Hua Shan Yuan Shi Ji Noniang (xi Yuan Si Shi Jian Noshi)
