"Score","ID 1","Name 1","Birth date 1","Death date 1","Relatives 1","ID 2","Name 2","Birth date 2","Death date 2","Relatives 2"
"80%","9579","YADU Yayati","","Deceased","Parents: YAYĀTI Nahusha and DEVAYĀNI Shukra
Siblings: YADU Yayati, PURU Yayati
Children: SAHASRAJIT Yadu, KROSHTU Yadu","11242","YADU Yayati","","Deceased","Parents: YAYĀTI Nahusha and DEVAYĀNI Shukra
Siblings: YADU Yayati, PURU Yayati
Children: KROSHTU Yadu"
"70%","9544","Sraddhadeva \ Satyavrata Vaivasvata Satyavrata Vaivasvata ?7th MANU, Satyavrata Vaivasvata ?7th MANU Satyavrata Vaivasvata ?7th MANU Satyavra","","","Parents: Surya Placeholder surname and SANJNA \ Saranyu Saranyu
Siblings: Sraddhadeva \ Satyavrata Vaivasvata Satyavrata Vaivasvata \7th MANU, Satyavrata Vaivasvata /7th MANU/, Yama Dharma Placeholder surname, King of Death, TAPATI Surya
Children: SUVARNA Suhotra, Ila-Ilā (Male-Female alternate months) Budha, Ikshvāku Placeholder surname","11208","Sraddhadeva \ Satyavrata Vaivasvata Satyavrata Vaivasvata \7th MANU, Satyavrata Vaivasvata /7th MANU/","","","Parents: Surya Placeholder surname and SANJNA \ Saranyu Saranyu
Siblings: Sraddhadeva \ Satyavrata Vaivasvata Satyavrata Vaivasvata ?7th MANU, Satyavrata Vaivasvata ?7th MANU Satyavrata Vaivasvata ?7th MANU Satyavra, Yama Dharma Placeholder surname, King of Death, TAPATI Surya
Children: SUVARNA Suhotra, Ila-Ilā (Male-Female alternate months) Budha, Ikshvāku Placeholder surname"
"62%","9841","BRIHADBAL TAKSHAKA","About 1375","Deceased","Father: TAKSHAKA PRASENJIT-1
Siblings: BRIHADBAL TAKSHAKA
Children: BRIHATKSHATRA BRIHADBAL","11203","BRIHADBAL TAKSHAKA","About 1375","Deceased","Father: TAKSHAKA PRASENJIT-1
Siblings: BRIHADBAL TAKSHAKA
Children: BRIHATKSHATRA BRIHADBAL"
"60%","9623","Bhanuratha, King of Kosala Placeholder surname","","","Father: BRIHADAŚVA of Kosala Placeholder surname
Siblings: Bhanuratha, King of Kosala Placeholder surname
Children: Pratikanshva Placeholder surname","9624","Bhanuratha, King of Kosala Placeholder surname","About 1150","Deceased","Father: BRIHADAŚVA of Kosala Placeholder surname
Siblings: Bhanuratha, King of Kosala Placeholder surname
Children: Pratikanshva Placeholder surname"
"60%","9925","Prasusruta, King of Kosala Placeholder surname","","","Father: MARUMANO Placeholder surname
Siblings: Prasusruta, King of Kosala Placeholder surname
Children: Susandhi, King of Kosala Placeholder surname","11213","Prasusruta, King of Kosala Placeholder surname","About 1500","Deceased","Father: MARUMANO Placeholder surname
Siblings: Prasusruta, King of Kosala Placeholder surname
Children: Susandhi, King of Kosala Placeholder surname"
"60%","10000","PARIPATRA Placeholder surname","","","Father: AHINAGU Devanīk
Siblings: PARIPATRA Placeholder surname
Children: BALA (SHILA) PARIPATRA Placeholder surname","11228","PARIPATRA Placeholder surname","1850","Deceased","Father: AHINAGU Devanīk
Siblings: PARIPATRA Placeholder surname
Children: BALA (SHILA) PARIPATRA"
"50%","3762","R0 (pre-HV) Placeholder surname","","","Mother: R Placeholder surname
Siblings: O Placeholder surname, U Placeholder surname, P Placeholder surname, R11'B Placeholder surname, R9 Placeholder surname, pre-JT (R2'JT) Placeholder surname
Children: HV Placeholder surname","4292","P Placeholder surname","","","Mother: R Placeholder surname
Siblings: O Placeholder surname, U Placeholder surname, R11'B Placeholder surname, R9 Placeholder surname, pre-JT (R2'JT) Placeholder surname, R0 (pre-HV) Placeholder surname"
"50%","3895","pre-JT (R2'JT) Placeholder surname","","","Mother: R Placeholder surname
Siblings: O Placeholder surname, U Placeholder surname, P Placeholder surname, R11'B Placeholder surname, R9 Placeholder surname, R0 (pre-HV) Placeholder surname
Children: JT Placeholder surname","4292","P Placeholder surname","","","Mother: R Placeholder surname
Siblings: O Placeholder surname, U Placeholder surname, R11'B Placeholder surname, R9 Placeholder surname, pre-JT (R2'JT) Placeholder surname, R0 (pre-HV) Placeholder surname"
"50%","9304","KARDAMA Placeholder surname","","","Father: Creator BRAHMA Placeholder surname
Spouse: DEVAHŪTI Manu
Siblings: BHRIGU Placeholder surname, ANGĪRA aka ANGIRASA Brahma, Svayambhuva MANU aka Prajāpati Panchajana Placeholder surname, 1st Man, Marichi Placeholder surname, KA Placeholder surname, YA Placeholder surname, Placeholder surname, Unknown, DAKSHA Placeholder surname, JAHNU Placeholder surname
Children: KALĀ Kardama, ARUNDHATI Kardama, ANASŪYA Kardama, ŚRADDHA Kardama, KHYĀTI Kardama","9764","KA Placeholder surname","","","Father: Creator BRAHMA Placeholder surname
Siblings: Unknown, Placeholder surname, YA Placeholder surname, Marichi Placeholder surname, KARDAMA Placeholder surname, Svayambhuva MANU aka Prajāpati Panchajana Placeholder surname, 1st Man, ANGĪRA aka ANGIRASA Brahma, BHRIGU Placeholder surname, DAKSHA Placeholder surname, JAHNU Placeholder surname
Children: Placeholder surname, Unknown"
"50%","9507","SUHOTRA \ VAITITHI VAITITHI ?Brihatkshatra, VAITITHI ?Brihatkshatra VAITITHI ?Brihatkshatra VAITITHI ?Brihatkshatr","","","Father: BRIHATKSHATRA Manyu
Spouse: SUVARNA Suhotra
Siblings: SUHOTRA \ VAITITHI VAITITHI \Brihatkshatra, VAITITHI /Brihatkshatra/
Children: HASTI (founder of Hastinapur) Suhotra","11204","SUHOTRA \ VAITITHI VAITITHI \Brihatkshatra, VAITITHI /Brihatkshatra/","","","Father: BRIHATKSHATRA Manyu
Spouse: SUVARNA Suhotra
Siblings: SUHOTRA \ VAITITHI VAITITHI ?Brihatkshatra, VAITITHI ?Brihatkshatra VAITITHI ?Brihatkshatra VAITITHI ?Brihatkshatr
Children: HASTI (founder of Hastinapur) Suhotra"
