
id,label_en,translation
Q1659,NN Борджигин-majapahit,Nn Bordzhigin-Majapahit
Q1661,NN Борджигин,Nn Bordzhigin
Q1663,Борджигин,Bordzhigin
Q1664,Mandan Борджигин,Mandan Bordzhigin
Q1667,Тогрул Борджигин,Togrul Bordzhigin
Q1672,Бартан Борджигин,Bartan Bordzhigin
Q1679,ХАБУЛ Борджигин,Khabul Bordzhigin
Q1688,ТУМБИНЭ-КААН Борджигин,Tumbine-Kaan Bordzhigin
Q1697,БАЙСОНКУР Борджигин,Baisonkur Bordzhigin
Q1704,КАЙДУ-ХАН Борджигин,Kaidu-Khan Bordzhigin
Q1711,ДУТУМ-МЭНЭН Борджигин,Dutum-Menen Bordzhigin
Q1718,БУКА Борджигин,Buka Bordzhigin
Q1727,БОДОНЧАР Борджигин,Bodonchar Bordzhigin
Q1736,ДОБУН-БАЯН Борджигин,Dobun-Baian Bordzhigin
Q1746,ТОРОХОЛДЖИН-БАЯН Борджигин,Torokholdzhin-Baian Bordzhigin
Q1756,БОРДЖИГЕДЕЙ-МЭРГЭН,Bordzhigedei-Mergen
Q1767,КАЛИ-КАРЧИ,Kali-Karchi
Q1776,СИМ-САУЧИ,Sim-Sauchi
Q1785,ЕКЭ-НИДДА,Eke-Nidda
Q1793,КУДЖАМ-БОРАГУЛ,Kudzham-Boragul
Q1802,КОРИГАР-МЭРГЭН,Korigar-Mergen
Q1812,ТАМАЧ,Tamach
Q1822,БАТАГИ-КААН,Batagi-Kaan
Q1833,БОРТЭЧИНЭ,Bortechine
Q1847,АЛТАН-САНДАЛИТУ,Altan-Sandalitu
Q1858,Parikshit Куру,Parikshit Kuru
Q1859,Rahula син на Буда Gautama,Rahula Sin Na Buda Gautama
Q2420,"Zarathustra, Founder Zoroaster Isme زرتشت‎",
Q3373,Shlomom Коронел,Shlomom Koronel
Q3832,Лопес Эльвира Шломо,Lopes El'vira Shlomo
Q3833,Липи Хименс Шломо Coronel,Lipi Khimens Shlomo Coronel
Q4392,Francisco Коронел,Francisco Koronel
Q6534,大日諸命,Da Ri Zhu Ming 
Q6609,刺国若比売,Ci Guo Ruo Bi Mai 
Q6675,大御食持命,Da Yu Shi Chi Ming 
Q6681,玉依彦命,Yu Yi Yan Ming 
Q6682,葉江,Xie Jiang 
Q6683,日向賀牟度美良姫,Ri Xiang He Mou Du Mei Liang Ji 
Q6684,豊御気主命,Li Yu Qi Zhu Ming 
Q6685,建瓶尻命,Jian Ping Kao Ming 
Q6695,和知都美命,He Zhi Du Mei Ming 
Q6718,八島牟遅能神,Ba Dao Mou Chi Neng Shen 
Q6720,建御名方彦神別命,Jian Yu Ming Fang Yan Shen Bie Ming 
Q6721,出早雄命,Chu Zao Xiong Ming 
Q6722,片倉辺命,Pian Cang Bian Ming 
Q6723,八杵命,Ba Chu Ming 
Q6724,守達神,Shou Da Shen 
Q6727,国忍富神,Guo Ren Fu Shen 
Q6729,天活玉命,Tian Huo Yu Ming 
Q6732,天三降命,Tian San Jiang Ming 
Q6733,彦湯支命,Yan Tang Zhi Ming 
Q6738,蠅伊呂杼,Ying Yi Lu Zhu 
Q6746,包媛,Bao Yuan 
Q6747,小千御子,Xiao Qian Yu Zi 
Q6750,伊那毘若郎女,Yi Na Pi Ruo Lang Nu 
Q6751,大彦速命,Da Yan Su Ming 
Q6752,大主命,Da Zhu Ming 
Q6753,水練命,Shui Lian Ming 
Q6755,天比理刀咩命,Tian Bi Li Dao Mie Ming 
Q6758,天櫛耳命,Tian Jie Er Ming 
Q6759,剣根命,Jian Gen Ming 
Q6760,長媛,Chang Yuan 
Q6766,十市県主大目,Shi Shi Xian Zhu Da Mu 
Q6767,天波与命,Tian Bo Yu Ming 
Q6770,櫛真智命,Jie Zhen Zhi Ming 
Q6781,多満留姫,Duo Man Liu Ji 
Q6783,出早比売命,Chu Zao Bi Mai Ming 
Q6784,会津比売神,Hui Jin Bi Mai Shen 
Q6786,葦那陀迦神,Wei Na Tuo Jia Shen 
Q6787,菟狭津彦命,Tu Xia Jin Yan Ming 
Q6788,大水口宿禰,Da Shui Kou Su Ni 
Q6789,大矢口宿禰命,Da Shi Kou Su Ni Ming 
Q6790,坂戸由良都姫命,Ban Hu You Liang Du Ji Ming 
Q6801,稲津媛命,Dao Jin Yuan Ming 
Q6808,吉備穴戸武媛,Ji Bei Xue Hu Wu Yuan 
Q6809,吉備御友別,Ji Bei Yu You Bie 
Q6813,天御食持命,Tian Yu Shi Chi Ming 
Q6815,夜麻都俾命,Ye Ma Du Bi Ming 
Q6816,加奈知比咩命,Jia Nai Zhi Bi Mie Ming 
Q6817,葛城国造の剣根命の女,Ge Cheng Guo Zao Nojian Gen Ming Nonu 
Q6819,天日別命,Tian Ri Bie Ming 
Q6823,天忍人命,Tian Ren Ren Ming 
Q6825,天甕津日女命,Tian Weng Jin Ri Nu Ming 
Q6826,常津彦命,Chang Jin Yan Ming 
Q6828,鬱色雄命,Yu Se Xiong Ming 
Q6829,建忍山垂根,Jian Ren Shan Chui Gen 
Q6830,大禰命,Da Ni Ming 
Q6831,出石心大臣命,Chu Shi Xin Da Chen Ming 
Q6843,意布比命,Yi Bu Bi Ming 
Q6844,由碁理,You Qi Li 
Q6845,垂見宿禰,Chui Jian Su Ni 
Q6846,沙本之大闇見戸売,Sha Ben Zhi Da An Jian Hu Mai 
Q6847,荏名津比売命,Ren Ming Jin Bi Mai Ming 
Q6850,袁邪本王,Yuan Xie Ben Wang 
Q6853,水之穂真若王,Shui Zhi Sui Zhen Ruo Wang 
Q6854,神大根王,Shen Da Gen Wang 
Q6857,大水口比売,Da Shui Kou Bi Mai 
Q6873,五十琴姫命,Wu Shi Qin Ji Ming 
Q6880,稲背入彦皇子,Dao Bei Ru Yan Huang Zi 
Q6883,布多遅比売,Bu Duo Chi Bi Mai 
Q6887,稲依別王,Dao Yi Bie Wang 
Q6888,稚武彦王,Zhi Wu Yan Wang 
Q6893,建御合命,Jian Yu He Ming 
Q6897,眞木毘売命,Zhen Mu Pi Mai Ming 
Q6898,荒毘売命,Huang Pi Mai Ming 
Q6899,玉手毘売命,Yu Shou Pi Mai Ming 
Q6900,物部十千根,Wu Bu Shi Qian Gen 
Q6901,大咩布命,Da Mie Bu Ming 
Q6902,新川媛命,Xin Chuan Yuan Ming 
Q6903,大新川命,Da Xin Chuan Ming 
Q6904,大木別垂根,Da Mu Bie Chui Gen 
Q6907,渟葉田瓊入媛,Ting Xie Tian Qiong Ru Yuan 
Q6908,真砥野媛,Zhen Di Ye Yuan 
Q6909,薊瓊入媛,Ji Qiong Ru Yuan 
Q6910,綺戸辺,Qi Hu Bian 
Q6911,山背苅幡戸辺,Shan Bei Yi Fan Hu Bian 
Q6913,遠津年魚眼眼妙媛,Yuan Jin Nian Yu Yan Yan Miao Yuan 
Q6915,那須国造大臣命,Na Xu Guo Zao Da Chen Ming 
Q6916,長溝命,Chang Gou Ming 
Q6918,船穂足尼,Chuan Sui Zu Ni 
Q6919,丹波之河上之摩須郎女,Dan Bo Zhi He Shang Zhi Mo Xu Lang Nu 
Q6920,朝廷別王,Zhao Ting Bie Wang 
Q6922,美加々比売命,"Mei Jia ""bi Mai Ming "
Q6926,宇乃媛命,Yu Nai Yuan Ming 
Q6930,羽田矢代,Yu Tian Shi Dai 
Q6931,許勢小柄,Xu Shi Xiao Bing 
Q6933,忍媛命,Ren Yuan Ming 
Q6934,石城別王,Shi Cheng Bie Wang 
Q6935,稚鐸石別命,Zhi Duo Shi Bie Ming 
Q6936,クマソタケル,Kumasotakeru
Q6937,物部胆咋,Wu Bu Dan Zha 
Q6938,志理都紀斗売,Zhi Li Du Ji Dou Mai 
Q6939,品陀真若王,Pin Tuo Zhen Ruo Wang 
Q6949,息長真若中比売,Xi Chang Zhen Ruo Zhong Bi Mai 
Q6961,臣知人命,Chen Zhi Ren Ming 
Q6962,伊富都久命,Yi Fu Du Jiu Ming 
Q6964,乙国葺命,Yi Guo Qi Ming 
Q6966,片堅石命,Pian Jian Shi Ming 
Q6968,大小市命,Da Xiao Shi Ming 
Q6969,山背大国不遅,Shan Bei Da Guo Bu Chi 
Q6970,荒河戸畔,Huang He Hu Pan 
Q6971,彦狭島王,Yan Xia Dao Wang 
Q6972,大国不避命,Da Guo Bu Bi Ming 
Q6974,豊忍別命,Li Ren Bie Ming 
Q6975,伊佐姫,Yi Zuo Ji 
Q6976,波刈禰命,Bo Yi Ni Ming 
Q6977,舟木命,Zhou Mu Ming 
Q6978,等與美身命,Deng Yu Mei Shen Ming 
Q6981,紀白城,Ji Bai Cheng 
Q6982,田鳥足尼,Tian Niao Zu Ni 
Q6983,紀遠耶,Ji Yuan Ye 
Q6984,紀小弓,Ji Xiao Gong 
Q6985,玉田宿禰,Yu Tian Su Ni 
Q6987,葛城葦田宿禰,Ge Cheng Wei Tian Su Ni 
Q6988,的戸田宿禰,De Hu Tian Su Ni 
Q6993,物部五十琴,Wu Bu Wu Shi Qin 
Q6994,金田屋野姫命,Jin Tian Wu Ye Ji Ming 
Q6995,小縫命,Xiao Feng Ming 
Q6996,建多乎利命,Jian Duo Hu Li Ming 
Q6997,淡夜別命,Dan Ye Bie Ming 
Q6998,尻綱根命,Kao Gang Gen Ming 
Q6999,尾張忠命,Wei Zhang Zhong Ming 
Q7007,百師木伊呂弁,Bai Shi Mu Yi Lu Bian 
Q7013,塩垂津彦,Yan Chui Jin Yan 
Q7015,子致命,Zi Zhi Ming 
Q7017,御諸別王,Yu Zhu Bie Wang 
Q7018,島根尼君,Dao Gen Ni Jun 
Q7019,夜都賀志比古命,Ye Du He Zhi Bi Gu Ming 
Q7020,紀豊布流,Ji Li Bu Liu 
Q7022,小鹿火宿禰,Xiao Lu Huo Su Ni 
Q7023,紀大磐,Ji Da Pan 
Q7024,葛城円,Ge Cheng Yuan 
Q7025,蟻臣,Yi Chen 
Q7026,黒媛,Hei Yuan 
Q7028,壱岐真根子,Yi Qi Zhen Gen Zi 
Q7030,物部伊莒弗,Wu Bu Yi Ju Fu 
Q7031,弟彦命,Di Yan Ming 
Q7032,建斗米命,Jian Dou Mi Ming 
Q7033,彦与曽命,Yan Yu Ceng Ming 
Q7034,意乎已連,Yi Hu Yi Lian 
Q7035,弟彦,Di Yan 
Q7049,杙俣長日子王,Yi Yu Chang Ri Zi Wang 
Q7053,真侶古命,Zhen Lu Gu Ming 
Q7055,比古麻命,Bi Gu Ma Ming 
Q7056,蔭佐奈胡命,Yin Zuo Nai Hu Ming 
Q7057,荒田別,Huang Tian Bie 
Q7058,市入別命,Shi Ru Bie Ming 
Q7059,鹿我別,Lu Wo Bie 
Q7060,紀塩籠,Ji Yan Long 
Q7061,富持古,Fu Chi Gu 
Q7063,紀男麻呂,Ji Nan Ma Lu 
Q7066,御馬皇子,Yu Ma Huang Zi 
Q7068,物部布都久留,Wu Bu Bu Du Jiu Liu 
Q7070,倭得玉命,Wei De Yu Ming 
Q7071,天戸目命,Tian Hu Mu Ming 
Q7072,建宇那比命,Jian Yu Na Bi Ming 
Q7073,弟真根,Di Zhen Gen 
Q7076,葛城荑媛,Ge Cheng Ti Yuan 
Q7079,八腹木事臣,Ba Fu Mu Shi Chen 
Q7080,和珥童女君,He Er Tong Nu Jun 
Q7095,麻枳利命,Ma Zhi Li Ming 
Q7099,現古命,Xian Gu Ming 
Q7101,紀塩手,Ji Yan Shou 
Q7103,物部木蓮子,Wu Bu Mu Lian Zi 
Q7104,物部小事,Wu Bu Xiao Shi 
Q7106,建諸隈命,Jian Zhu Wei Ming 
Q7107,建筒草命,Jian Tong Cao Ming 
Q7108,寿句梨香,Shou Ju Li Xiang 
Q7109,糠君娘,Kang Jun Niang 
Q7124,春日人華,Chun Ri Ren Hua 
Q7128,若多気姫,Ruo Duo Qi Ji 
Q7134,紀大口,Ji Da Kou 
Q7138,建田背命,Jian Tian Bei Ming 
Q7139,已々雄,"Yi ""xiong "
Q7140,尾張常兄,Wei Zhang Chang Xiong 
Q7148,上殖葉皇子,Shang Zhi Xie Huang Zi 
Q7150,河内臣,He Nei Chen 
Q7154,椀子皇子,Wan Zi Huang Zi 
Q7179,春日岡上,Chun Ri Gang Shang 
Q7180,春日牟久,Chun Ri Mou Jiu 
Q7192,蘇我法提郎女,Su Wo Fa Ti Lang Nu 
Q7200,尾張金連,Wei Zhang Jin Lian 
Q7201,尾張橿鈴彦,Wei Zhang Jiang Ling Yan 
Q7207,桜井王,Ying Jing Wang 
Q7221,石川王,Shi Chuan Wang 
