entity_without_ids,name_without_ids,lang_without_ids,entity_with_ids,name_with_ids,lang_with_ids,normalized_name
Q16251,Kōno Michinobu,en,Q30971,Kōno Michinobu,en,kōno michinobu
Q16251,Kōno Michinobu,en,Q30971,Kōno Michinobu,de,kōno michinobu
Q16251,Kōno Michinobu,en,Q30971,Kōno Michinobu,ast,kōno michinobu
Q16402,Empress Dowager Keihō,en,Q46636,Empress Dowager Keihō,en,dowager keihō
Q16402,Empress Dowager Keihō,en,Q46636,Dowager Keihō,de,dowager keihō
Q16402,Empress Dowager Keihō,en,Q46636,Empress Dowager Keihō,tl,dowager keihō
Q16405,Kyōgoku-no-miya Ayahito-shinnō,en,Q46652,Kyōgoku-no-miya Ayahito-shinnō,en,kyōgoku-no-miya ayahito-shinnō
Q16405,Kyōgoku-no-miya Ayahito-shinnō,en,Q46652,Kyōgoku-no-miya Ayahito-shinnō,es,kyōgoku-no-miya ayahito-shinnō
Q16405,Kyōgoku-no-miya Ayahito-shinnō,en,Q46652,Kyōgoku-no-miya Ayahito-shinnō,tr,kyōgoku-no-miya ayahito-shinnō
Q16408,Arisugawa-no-miya Yorihito-shinnō,en,Q46664,Arisugawa-no-miya Yorihito-shinnō,en,arisugawa-no-miya yorihito-shinnō
Q16408,Arisugawa-no-miya Yorihito-shinnō,en,Q46664,Arisugawa-no-miya Yorihito-shinnō,es,arisugawa-no-miya yorihito-shinnō
Q16411,Kōkan-hosshinnō,en,Q46672,Kōkan-hosshinnō,en,kōkan-hosshinnō
Q16411,Kōkan-hosshinnō,en,Q46672,Kōkan-hosshinnō,ast,kōkan-hosshinnō
Q16527,Shang Shan Xian Fang,en,Q28520,Shang Shan Xian Fang,en,shang shan xian fang
Q16545,Hu Cun Yi Wei,en,Q26419,Hu Cun Yi Wei,en,hu cun yi wei
Q16546,Yi Se Zheng Xi,en,Q26421,Yi Se Zheng Xi,en,yi se zheng xi
Q16548,Na Xu Shi Zi,en,Q26424,Na Xu Shi Zi,en,na xu shi zi
Q16549,Gao Zhong Shi,en,Q26427,Gao Zhong Shi,en,gao zhong shi
Q16550,Gao Shi Xing,en,Q26430,Gao Shi Xing,en,gao shi xing
Q16552,Yamana Toyōji,en,Q26433,Yamana Toyōji,en,yamana toyōji
Q16554,Shan Ming Chang Li,en,Q26436,Shan Ming Chang Li,en,shan ming chang li
Q16555,Shan Ming Zhi Li,en,Q26439,Shan Ming Zhi Li,en,shan ming zhi li
Q16560,Ōuchi Norihiro,en,Q26442,Ōuchi Norihiro,en,ōuchi norihiro
Q16560,Ōuchi Norihiro,en,Q26442,Ōuchi Norihiro,ast,ōuchi norihiro
Q16560,Ōuchi Norihiro,en,Q26442,Ōuchi Norihiro,tr,ōuchi norihiro
Q16561,Ōuchi Masahiro,en,Q26445,Ōuchi Masahiro,en,ōuchi masahiro
