qid,property_count,properties,restored_from_xml,entity_type
Q1942,1,P39,False,unlabeled
Q1962,1,P39,False,unlabeled
Q1970,1,P39,False,unlabeled
Q1982,1,P39,False,unlabeled
Q1516,1,P39,False,unlabeled
Q1518,1,P39,False,unlabeled
Q152019,1,P39,False,unlabeled
Q152272,1,P39,False,unlabeled
Q152273,1,P39,False,unlabeled
Q1547,1,P39,False,unlabeled
Q1548,1,P39,False,unlabeled
Q1550,1,P39,False,unlabeled
Q1555,1,P39,False,unlabeled
Q1557,1,P39,False,unlabeled
Q1560,1,P39,False,unlabeled
Q1562,1,P39,False,unlabeled
Q1563,1,P39,False,unlabeled
Q1564,1,P39,False,unlabeled
Q1569,1,P39,False,unlabeled
Q1571,1,P39,False,unlabeled
Q1580,1,P39,False,unlabeled
Q100189,7,"P39,P5,P11,P7,P8,P60,P46",True,restored
Q100349,7,"P39,P5,P11,P7,P8,P60,P46",True,restored
Q100723,5,"P39,P5,P11,P60,P46",True,restored
Q101151,11,"P39,P42,P20,P47,P48,P5,P11,P7,P8,P15",True,restored
Q1016,1,P39,False,unlabeled
Q101676,5,"P39,P5,P11,P60,P46",True,restored
Q101772,6,"P5,P15,P55,P39,P42,P11",True,restored
Q101874,7,"P5,P15,P55,P39,P42,P20,P11",True,restored
Q101931,5,"P39,P5,P11,P60,P46",True,restored
Q102236,5,"P39,P5,P11,P60,P46",True,restored
Q102258,5,"P39,P5,P11,P60,P46",True,restored
Q102272,1,P39,False,unlabeled
Q102294,5,"P39,P5,P11,P60,P46",True,restored
Q102298,5,"P39,P5,P11,P60,P46",True,restored
Q102302,5,"P39,P5,P11,P60,P46",True,restored
Q102306,5,"P39,P5,P11,P60,P46",True,restored
Q102310,5,"P39,P5,P11,P60,P46",True,restored
Q102314,5,"P39,P5,P11,P60,P46",True,restored
Q102318,5,"P39,P5,P11,P60,P46",True,restored
Q102322,5,"P39,P5,P11,P60,P46",True,restored
Q102326,5,"P39,P5,P11,P60,P46",True,restored
Q102330,5,"P39,P5,P11,P60,P46",True,restored
Q102334,5,"P39,P5,P11,P60,P46",True,restored
Q102338,5,"P39,P5,P11,P60,P46",True,restored
Q102342,5,"P39,P5,P11,P60,P46",True,restored
Q102345,13,"P5,P15,P55,P56,P57,P39,P42,P20,P47,P48",True,restored
Q102346,5,"P39,P5,P11,P60,P46",True,restored
Q102350,5,"P39,P5,P11,P60,P46",True,restored
Q102390,5,"P39,P5,P11,P60,P46",True,restored
Q102406,5,"P39,P5,P11,P60,P46",True,restored
Q102430,5,"P39,P5,P11,P60,P46",True,restored
Q102482,5,"P39,P5,P11,P60,P46",True,restored
Q102966,5,"P39,P5,P11,P60,P46",True,restored
Q103030,5,"P39,P5,P11,P60,P46",True,restored
Q103122,5,"P39,P5,P11,P60,P46",True,restored
Q103398,5,"P39,P5,P11,P60,P46",True,restored
Q103446,5,"P39,P5,P11,P60,P46",True,restored
Q103950,6,"P39,P5,P11,P8,P60,P46",True,restored
Q104396,5,"P39,P5,P11,P60,P46",True,restored
Q104418,5,"P39,P5,P11,P60,P46",True,restored
Q104420,5,"P39,P5,P11,P60,P46",True,restored
Q1425,1,P39,False,unlabeled
Q2436,1,P39,False,unlabeled
Q2464,1,P39,False,unlabeled
Q2632,1,P39,False,unlabeled
Q2633,1,P39,False,unlabeled
Q26428,1,P39,False,unlabeled
Q26437,1,P39,False,unlabeled
Q26449,1,P39,False,unlabeled
Q26458,1,P39,False,unlabeled
Q26540,1,P39,False,unlabeled
Q26588,1,P39,False,unlabeled
Q26600,1,P39,False,unlabeled
Q26621,1,P39,False,unlabeled
Q27472,1,P39,False,unlabeled
Q27484,1,P39,False,unlabeled
Q27500,1,P39,False,unlabeled
Q28069,1,P39,False,unlabeled
Q28133,1,P39,False,unlabeled
Q28145,1,P39,False,unlabeled
Q2820,1,P39,False,unlabeled
Q28211,1,P39,False,unlabeled
Q28215,1,P39,False,unlabeled
Q28219,1,P39,False,unlabeled
Q28231,1,P39,False,unlabeled
Q28247,1,P39,False,unlabeled
Q28260,1,P39,False,unlabeled
Q28272,1,P39,False,unlabeled
Q28312,1,P39,False,unlabeled
Q28336,1,P39,False,unlabeled
Q28340,1,P39,False,unlabeled
Q28348,1,P39,False,unlabeled
Q28352,1,P39,False,unlabeled
Q28360,1,P39,False,unlabeled
Q28372,1,P39,False,unlabeled
Q28384,1,P39,False,unlabeled
Q28396,1,P39,False,unlabeled
Q28400,1,P39,False,unlabeled
Q28404,1,P39,False,unlabeled
Q28437,1,P39,False,unlabeled
Q28441,1,P39,False,unlabeled
Q28449,1,P39,False,unlabeled
Q28453,1,P39,False,unlabeled
Q2846,1,P39,False,unlabeled
Q28461,1,P39,False,unlabeled
Q28465,1,P39,False,unlabeled
Q28481,1,P39,False,unlabeled
Q28489,1,P39,False,unlabeled
Q28493,1,P39,False,unlabeled
Q28501,1,P39,False,unlabeled
Q28505,1,P39,False,unlabeled
Q28600,1,P39,False,unlabeled
Q28604,1,P39,False,unlabeled
Q28608,1,P39,False,unlabeled
Q28612,1,P39,False,unlabeled
Q28616,1,P39,False,unlabeled
Q28620,1,P39,False,unlabeled
Q28624,1,P39,False,unlabeled
Q28628,1,P39,False,unlabeled
Q28632,1,P39,False,unlabeled
Q28636,1,P39,False,unlabeled
Q28640,1,P39,False,unlabeled
Q28644,1,P39,False,unlabeled
Q28648,1,P39,False,unlabeled
Q28652,1,P39,False,unlabeled
Q28656,1,P39,False,unlabeled
Q28660,1,P39,False,unlabeled
Q28664,1,P39,False,unlabeled
Q28668,1,P39,False,unlabeled
Q28672,1,P39,False,unlabeled
Q28676,1,P39,False,unlabeled
Q28680,1,P39,False,unlabeled
Q28684,1,P39,False,unlabeled
Q28688,1,P39,False,unlabeled
Q28692,1,P39,False,unlabeled
Q28696,1,P39,False,unlabeled
Q28700,1,P39,False,unlabeled
Q28704,1,P39,False,unlabeled
Q28708,1,P39,False,unlabeled
Q28712,1,P39,False,unlabeled
Q28716,1,P39,False,unlabeled
Q28720,1,P39,False,unlabeled
Q28724,1,P39,False,unlabeled
Q28728,1,P39,False,unlabeled
Q28733,1,P39,False,unlabeled
Q28737,1,P39,False,unlabeled
Q28741,1,P39,False,unlabeled
Q28745,1,P39,False,unlabeled
Q28749,1,P39,False,unlabeled
Q28753,1,P39,False,unlabeled
Q28757,1,P39,False,unlabeled
Q28761,1,P39,False,unlabeled
Q28765,1,P39,False,unlabeled
Q28769,1,P39,False,unlabeled
Q28773,1,P39,False,unlabeled
Q28777,1,P39,False,unlabeled
Q28781,1,P39,False,unlabeled
Q28785,1,P39,False,unlabeled
Q28789,1,P39,False,unlabeled
Q28793,1,P39,False,unlabeled
Q28797,1,P39,False,unlabeled
Q28801,1,P39,False,unlabeled
Q28805,1,P39,False,unlabeled
Q28809,1,P39,False,unlabeled
Q28813,1,P39,False,unlabeled
Q28817,1,P39,False,unlabeled
Q28821,1,P39,False,unlabeled
Q28825,1,P39,False,unlabeled
Q28829,1,P39,False,unlabeled
Q28833,1,P39,False,unlabeled
Q28837,1,P39,False,unlabeled
Q28841,1,P39,False,unlabeled
Q28845,1,P39,False,unlabeled
Q28849,1,P39,False,unlabeled
Q28853,1,P39,False,unlabeled
Q28857,1,P39,False,unlabeled
Q28861,1,P39,False,unlabeled
Q28865,1,P39,False,unlabeled
Q28869,1,P39,False,unlabeled
Q28873,1,P39,False,unlabeled
Q28877,1,P39,False,unlabeled
Q28881,1,P39,False,unlabeled
Q28885,1,P39,False,unlabeled
Q28889,1,P39,False,unlabeled
Q28893,1,P39,False,unlabeled
Q28897,1,P39,False,unlabeled
Q28929,1,P39,False,unlabeled
Q28933,1,P39,False,unlabeled
Q28942,1,P39,False,unlabeled
Q28950,1,P39,False,unlabeled
Q28958,1,P39,False,unlabeled
Q28966,1,P39,False,unlabeled
Q28974,1,P39,False,unlabeled
Q28978,1,P39,False,unlabeled
Q28990,1,P39,False,unlabeled
Q29010,1,P39,False,unlabeled
Q29018,1,P39,False,unlabeled
Q29022,1,P39,False,unlabeled
Q29026,1,P39,False,unlabeled
Q29030,1,P39,False,unlabeled
Q29035,1,P39,False,unlabeled
Q29039,1,P39,False,unlabeled
Q29043,1,P39,False,unlabeled
Q29047,1,P39,False,unlabeled
Q29051,1,P39,False,unlabeled
Q29055,1,P39,False,unlabeled
Q29059,1,P39,False,unlabeled
Q29063,1,P39,False,unlabeled
Q29067,1,P39,False,unlabeled
Q29088,1,P39,False,unlabeled
Q29104,1,P39,False,unlabeled
Q29132,1,P39,False,unlabeled
Q29164,1,P39,False,unlabeled
Q29216,1,P39,False,unlabeled
Q29220,1,P39,False,unlabeled
Q29224,1,P39,False,unlabeled
Q29228,1,P39,False,unlabeled
Q29236,1,P39,False,unlabeled
Q29240,1,P39,False,unlabeled
Q29244,1,P39,False,unlabeled
Q29248,1,P39,False,unlabeled
Q29252,1,P39,False,unlabeled
Q29256,1,P39,False,unlabeled
Q29260,1,P39,False,unlabeled
Q29264,1,P39,False,unlabeled
Q29268,1,P39,False,unlabeled
Q29272,1,P39,False,unlabeled
Q29276,1,P39,False,unlabeled
Q29280,1,P39,False,unlabeled
Q29284,1,P39,False,unlabeled
Q29300,1,P39,False,unlabeled
Q29308,1,P39,False,unlabeled
Q29316,1,P39,False,unlabeled
Q29320,1,P39,False,unlabeled
Q29324,1,P39,False,unlabeled
Q29328,1,P39,False,unlabeled
Q29332,1,P39,False,unlabeled
Q29336,1,P39,False,unlabeled
Q29340,1,P39,False,unlabeled
Q29344,1,P39,False,unlabeled
Q29348,1,P39,False,unlabeled
Q29352,1,P39,False,unlabeled
Q29356,1,P39,False,unlabeled
Q29364,1,P39,False,unlabeled
Q29369,1,P39,False,unlabeled
Q29373,1,P39,False,unlabeled
Q29377,1,P39,False,unlabeled
Q29381,1,P39,False,unlabeled
Q29385,1,P39,False,unlabeled
Q29389,1,P39,False,unlabeled
Q29393,1,P39,False,unlabeled
Q29397,1,P39,False,unlabeled
Q29401,1,P39,False,unlabeled
Q29405,1,P39,False,unlabeled
Q29409,1,P39,False,unlabeled
Q29413,1,P39,False,unlabeled
